Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2006;Neto migracija;Ukmergės r. sav.;asmenys;-298
2007;Neto migracija;Ukmergės r. sav.;asmenys;-174
2008;Neto migracija;Ukmergės r. sav.;asmenys;-332
2009;Neto migracija;Ukmergės r. sav.;asmenys;-509
2010;Neto migracija;Ukmergės r. sav.;asmenys;-1411
2011;Neto migracija;Ukmergės r. sav.;asmenys;-670
2012;Neto migracija;Ukmergės r. sav.;asmenys;-448
2013;Neto migracija;Ukmergės r. sav.;asmenys;-384
2014;Neto migracija;Ukmergės r. sav.;asmenys;-314
2015;Neto migracija;Ukmergės r. sav.;asmenys;-380
2016;Neto migracija;Ukmergės r. sav.;asmenys;-539
2017;Neto migracija;Ukmergės r. sav.;asmenys;-539
2018;Neto migracija;Ukmergės r. sav.;asmenys;-63
1990;Neto migracija;Vilniaus m. sav.;asmenys;
1991;Neto migracija;Vilniaus m. sav.;asmenys;
1992;Neto migracija;Vilniaus m. sav.;asmenys;
1993;Neto migracija;Vilniaus m. sav.;asmenys;
1994;Neto migracija;Vilniaus m. sav.;asmenys;-6965
1995;Neto migracija;Vilniaus m. sav.;asmenys;-5893
1996;Neto migracija;Vilniaus m. sav.;asmenys;-6865
1997;Neto migracija;Vilniaus m. sav.;asmenys;-5094
1998;Neto migracija;Vilniaus m. sav.;asmenys;-3563
1999;Neto migracija;Vilniaus m. sav.;asmenys;-3760
2000;Neto migracija;Vilniaus m. sav.;asmenys;-4480
2001;Neto migracija;Vilniaus m. sav.;asmenys;-2761
2002;Neto migracija;Vilniaus m. sav.;asmenys;-77
2003;Neto migracija;Vilniaus m. sav.;asmenys;-753
2004;Neto migracija;Vilniaus m. sav.;asmenys;-1596
2005;Neto migracija;Vilniaus m. sav.;asmenys;-3744
2006;Neto migracija;Vilniaus m. sav.;asmenys;-128
2007;Neto migracija;Vilniaus m. sav.;asmenys;396
2008;Neto migracija;Vilniaus m. sav.;asmenys;1113
2009;Neto migracija;Vilniaus m. sav.;asmenys;-544
2010;Neto migracija;Vilniaus m. sav.;asmenys;-8097
2011;Neto migracija;Vilniaus m. sav.;asmenys;-3632
2012;Neto migracija;Vilniaus m. sav.;asmenys;3277
2013;Neto migracija;Vilniaus m. sav.;asmenys;2080
2014;Neto migracija;Vilniaus m. sav.;asmenys;2023
2015;Neto migracija;Vilniaus m. sav.;asmenys;-234
2016;Neto migracija;Vilniaus m. sav.;asmenys;562
2017;Neto migracija;Vilniaus m. sav.;asmenys;1079
2018;Neto migracija;Vilniaus m. sav.;asmenys;3465
1990;Neto migracija;Vilniaus r. sav.;asmenys;
1991;Neto migracija;Vilniaus r. sav.;asmenys;
1992;Neto migracija;Vilniaus r. sav.;asmenys;
1993;Neto migracija;Vilniaus r. sav.;asmenys;
1994;Neto migracija;Vilniaus r. sav.;asmenys;478
1995;Neto migracija;Vilniaus r. sav.;asmenys;779
1996;Neto migracija;Vilniaus r. sav.;asmenys;1213
1997;Neto migracija;Vilniaus r. sav.;asmenys;1552
1998;Neto migracija;Vilniaus r. sav.;asmenys;688
1999;Neto migracija;Vilniaus r. sav.;asmenys;873
2000;Neto migracija;Vilniaus r. sav.;asmenys;474
2001;Neto migracija;Vilniaus r. sav.;asmenys;649
2002;Neto migracija;Vilniaus r. sav.;asmenys;908
2003;Neto migracija;Vilniaus r. sav.;asmenys;2179
2004;Neto migracija;Vilniaus r. sav.;asmenys;1537
2005;Neto migracija;Vilniaus r. sav.;asmenys;1033
2006;Neto migracija;Vilniaus r. sav.;asmenys;881
2007;Neto migracija;Vilniaus r. sav.;asmenys;1120
2008;Neto migracija;Vilniaus r. sav.;asmenys;1361
2009;Neto migracija;Vilniaus r. sav.;asmenys;278
2010;Neto migracija;Vilniaus r. sav.;asmenys;-536
2011;Neto migracija;Vilniaus r. sav.;asmenys;417
2012;Neto migracija;Vilniaus r. sav.;asmenys;-495
2013;Neto migracija;Vilniaus r. sav.;asmenys;157
2014;Neto migracija;Vilniaus r. sav.;asmenys;804
