neighbourhood;street;municipality;houses;overlap;str_type
Antakalnis;Karačiūnų Sodų 3-ioji g. ;Vilnius;9;No;Sodas
Antakalnis;Karačiūnų Sodų 4-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Karačiūnų Sodų 5-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Karačiūnų Sodų 6-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Karačiūnų Sodų 7-oji g. ;Vilnius;2;No;Sodas
Antakalnis;Karačiūnų Sodų 8-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Karačiūnų Sodų 9-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Karių Kapų g. ;Vilnius;27;No;Kitas
Antakalnis;Keramikų g. ;Vilnius;60;No;Kitas
Antakalnis;Kiškeliškių g. ;Vilnius;3;No;Kitas
Antakalnis;Kiškių g. ;Vilnius;10;No;Kitas
Antakalnis;Klinikų g. ;Vilnius;8;No;Kitas
Antakalnis;Koklių g. ;Vilnius;21;No;Kitas
Antakalnis;Konservatorijos Sodų 1-oji g. ;Vilnius;17;No;Sodas
Antakalnis;Konservatorijos Sodų 2-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Konservatorijos Sodų 3-ioji g. ;Vilnius;26;No;Sodas
Antakalnis;Konservatorijos Sodų 4-oji g. ;Vilnius;4;No;Sodas
Antakalnis;Kopūstų g. ;Vilnius;13;No;Kitas
Antakalnis;Kregždžių g. ;Vilnius;28;No;Kitas
Antakalnis;Kuosų g. ;Vilnius;14;No;Kitas
Antakalnis;L. Karsavino g. ;Vilnius;19;No;Kitas
Antakalnis;L. Sapiegos g. ;Vilnius;19;No;Kitas
Antakalnis;Lakštingalos Sodų g. ;Vilnius;7;No;Sodas
Antakalnis;Lakštingalos Sodų 1-oji g. ;Vilnius;5;No;Sodas
Antakalnis;Lakštingalos Sodų 2-oji g. ;Vilnius;2;No;Sodas
Antakalnis;Lakštingalos Sodų 3-ioji g. ;Vilnius;7;No;Sodas
Antakalnis;Lakštingalos Sodų 4-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Lakštingalos Sodų 5-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Lakštingalos Sodų 6-oji g. ;Vilnius;5;No;Sodas
Antakalnis;Lakštingalų g. ;Vilnius;21;No;Kitas
Antakalnis;Latežerio g. ;Vilnius;6;No;Kitas
