Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2002;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;32812
2003;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;32428
2004;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;32002
2005;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;31436
2006;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;30690
2007;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;30148
2008;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;29613
2009;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;29218
2010;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;28690
2011;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;27961
2012;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;27434
2013;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;26853
2014;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;26259
2015;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;25719
2016;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;25180
2017;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;24565
2018;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;23881
2019;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;23392
1996;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37896
1997;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37788
1998;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37527
1999;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37384
2000;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37322
2001;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37388
2002;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;37118
2003;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;36953
2004;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;36916
2005;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;36712
2006;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;36328
2007;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;35907
2008;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;35550
2009;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;35361
2010;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;35006
2011;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;34453
2012;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;34230
2013;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;33899
2014;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;33556
2015;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;33437
2016;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;33020
2017;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;32701
2018;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;32492
2019;Nuolatinių gyventojų skaičius metų pradžioje;Trakų r. sav.;Miestas ir kaimas;asmenys;32558
1996;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;50541
1997;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;50183
1998;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;49845
1999;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;49373
2000;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;48942
2001;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;48703
2002;Nuolatinių gyventojų skaičius metų pradžioje;Ukmergės r. sav.;Miestas ir kaimas;asmenys;48071
