neighbourhood;street
Fabijoniškės;Juliaus Juzeliūno g. (12)
Fabijoniškės;Kaimelio g. (36)
Fabijoniškės;Kęsgailų g. (12)
Fabijoniškės;Kireniškių g. (5)
Fabijoniškės;Kruopiškių g. (5)
Fabijoniškės;L. Giros g. (78 iš 80*)
Fabijoniškės;Laiškiškių g. (6)
Fabijoniškės;Lygių g. (11)
Fabijoniškės;Liudviko Zamenhofo g. (7)
Fabijoniškės;M. K. Šemetos g. (21)
Fabijoniškės;Mergelės g. (12)
Fabijoniškės;Mykolo Lietuvio g. (14 iš 16*)
Fabijoniškės;Mykolo Sleževičiaus g. (6)
Fabijoniškės;Naujakiemio g. (1 iš 52*)
Fabijoniškės;Nuotakų g. (8)
Fabijoniškės;Ožiaragio g. (7)
Fabijoniškės;P. Žadeikos g. (34)
Fabijoniškės;Paukščių Tako g. (63)
Fabijoniškės;Pelėdūnų g. (8)
Fabijoniškės;Prano Vaičaičio g. (13 iš 19*)
Fabijoniškės;Raudonupio g. (10)
Fabijoniškės;Riaubonių g. (13)
Fabijoniškės;S. Stanevičiaus g. (126)
Fabijoniškės;Salaspilio g. (3)
Fabijoniškės;Salomėjos Nėries g. (57)
Fabijoniškės;Sidabro Kalno g. (23)
Fabijoniškės;Svarstyklių g. (23)
Fabijoniškės;Šventeliškių g. (3)
Fabijoniškės;Ukmergės g. (29 iš 146*)
Fabijoniškės;Vandenio g. (32 iš 34*)
Fabijoniškės;Visorių g. (15 iš 67*)
Karoliniškės;Algimanto Petro Kavoliuko g. (32)
Karoliniškės;Apolinaro Juozo Povilaičio g. (15)
Karoliniškės;Dariaus Gerbutavičiaus g. (10)
Karoliniškės;Igno Šimulionio g. (10)
Karoliniškės;Joensū skv.
Karoliniškės;Laisvės pr. (14 iš 124*)
Karoliniškės;Loretos Asanavičiūtės g. (41)
Karoliniškės;Mėnulio g. (17)
Karoliniškės;Pilaitės pr. (5 iš 15*)
Karoliniškės;Rolando Jankausko g. (18)
Karoliniškės;Sausio 13-osios g. (33)
Karoliniškės;Sietyno g. (18)
Karoliniškės;Vido Maciulevičiaus g. (12)
Karoliniškės;Virginijaus Druskio g. (14)
Karoliniškės;Vytauto Vaitkaus g. (11)
Lazdynai;Ratilių g. (20)
Lazdynai;Rūko g. (31)
Lazdynai;Sutemų g. (16)
Lazdynai;Šalnos g. (23)
Lazdynai;Šaltūnų g. (50)
Lazdynai;Šarmos g. (18)
Lazdynai;Šerkšno g. (18)
Lazdynai;Šiltnamių g. (20)
Lazdynai;Ungurių g. (19)
Lazdynai;Upėtakių g. (15)
Lazdynai;Užutėkio g. (27)
Lazdynai;Vakaro g. (19)
Lazdynai;Vėgėlių g. (6)
