;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
225;2009;Elektrėnų sav.;26041.0;15–19;938;0.469;12213.229;13827.771
226;2009;Elektrėnų sav.;26041.0;20–24;984;0.492;12812.172;13228.828
227;2009;Elektrėnų sav.;26041.0;25–29;814;0.407;10598.687;15442.313
228;2009;Elektrėnų sav.;26041.0;30–34;928;0.464;12083.024000000001;13957.975999999999
229;2009;Elektrėnų sav.;26041.0;35–39;1041;0.5205;13554.340499999998;12486.659500000002
230;2009;Elektrėnų sav.;26041.0;40–44;1112;0.556;14478.796000000002;11562.203999999998
231;2009;Elektrėnų sav.;26041.0;45–49;1088;0.544;14166.304000000002;11874.695999999998
232;2009;Elektrėnų sav.;26041.0;50–54;1083;0.5415;14101.2015;11939.7985
233;2009;Elektrėnų sav.;26041.0;55–59;1145;0.5725;14908.4725;11132.5275
234;2009;Elektrėnų sav.;26041.0;60–64;1278;0.639;16640.199;9400.801
235;2009;Elektrėnų sav.;26041.0;65–69;1457;0.7285;18970.8685;7070.1314999999995
236;2009;Elektrėnų sav.;26041.0;70–74;1780;0.89;23176.49;2864.5099999999984
237;2009;Elektrėnų sav.;26041.0;75 ir vyresni;2550;1.275;33202.274999999994;-7161.274999999994
238;2010;Elektrėnų sav.;25802.0;Iš viso pagal amžių;1123;0.5615;14487.823;11314.177
239;2010;Elektrėnų sav.;25802.0;0–4;910;0.455;11739.91;14062.09
240;2010;Elektrėnų sav.;25802.0;5–9;1113;0.5565;14358.813;11443.187
241;2010;Elektrėnų sav.;25802.0;10–14;914;0.457;11791.514000000001;14010.485999999999
242;2010;Elektrėnų sav.;25802.0;15–19;943;0.4715;12165.643;13636.357
243;2010;Elektrėnų sav.;25802.0;20–24;965;0.4825;12449.465;13352.535
244;2010;Elektrėnų sav.;25802.0;25–29;782;0.391;10088.582;15713.418
245;2010;Elektrėnų sav.;25802.0;30–34;967;0.4835;12475.267;13326.733
246;2010;Elektrėnų sav.;25802.0;35–39;1017;0.5085;13120.317;12681.683
247;2010;Elektrėnų sav.;25802.0;40–44;1094;0.547;14113.694000000001;11688.305999999999
248;2010;Elektrėnų sav.;25802.0;45–49;1083;0.5415;13971.783;11830.217
249;2010;Elektrėnų sav.;25802.0;50–54;1093;0.5465;14100.793;11701.207
250;2010;Elektrėnų sav.;25802.0;55–59;1169;0.5845;15081.269;10720.731
251;2010;Elektrėnų sav.;25802.0;60–64;1237;0.6185;15958.537000000002;9843.462999999998
252;2010;Elektrėnų sav.;25802.0;65–69;1469;0.7345;18951.569;6850.4310000000005
253;2010;Elektrėnų sav.;25802.0;70–74;1698;0.849;21905.898;3896.101999999999
254;2010;Elektrėnų sav.;25802.0;75 ir vyresni;2428;1.214;31323.628;-5521.628000000001
255;2011;Elektrėnų sav.;25061.0;Iš viso pagal amžių;1121;0.5605;14046.6905;11014.3095
256;2011;Elektrėnų sav.;25061.0;0–4;841;0.4205;10538.1505;14522.8495
257;2011;Elektrėnų sav.;25061.0;5–9;971;0.4855;12167.1155;12893.8845
258;2011;Elektrėnų sav.;25061.0;10–14;994;0.497;12455.317;12605.683
259;2011;Elektrėnų sav.;25061.0;15–19;905;0.4525;11340.1025;13720.8975
260;2011;Elektrėnų sav.;25061.0;20–24;919;0.4595;11515.5295;13545.4705
261;2011;Elektrėnų sav.;25061.0;25–29;882;0.441;11051.901;14009.099
262;2011;Elektrėnų sav.;25061.0;30–34;989;0.4945;12392.6645;12668.3355
263;2011;Elektrėnų sav.;25061.0;35–39;1075;0.5375;13470.287499999999;11590.712500000001
264;2011;Elektrėnų sav.;25061.0;40–44;1014;0.507;12705.927;12355.073
265;2011;Elektrėnų sav.;25061.0;45–49;1060;0.53;13282.33;11778.67
266;2011;Elektrėnų sav.;25061.0;50–54;1096;0.548;13733.428000000002;11327.571999999998
267;2011;Elektrėnų sav.;25061.0;55–59;1169;0.5845;14648.1545;10412.8455
268;2011;Elektrėnų sav.;25061.0;60–64;1260;0.63;15788.43;9272.57
269;2011;Elektrėnų sav.;25061.0;65–69;1419;0.7095;17780.7795;7280.220499999999
270;2011;Elektrėnų sav.;25061.0;70–74;1719;0.8595;21539.929500000002;3521.070499999998
271;2011;Elektrėnų sav.;25061.0;75 ir vyresni;2588;1.294;32428.934;-7367.934000000001
272;2012;Elektrėnų sav.;24700.0;Iš viso pagal amžių;1122;0.561;13856.7;10843.3
273;2012;Elektrėnų sav.;24700.0;0–4;829;0.4145;10238.15;14461.85
274;2012;Elektrėnų sav.;24700.0;5–9;920;0.46;11362.0;13338.0
