Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2000;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;22.3
2001;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;21.9
2002;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;22.6
2003;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;22.7
2004;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;23.6
2005;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;24.6
2006;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;24.8
2007;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;25.4
2008;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;25.9
2009;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;27.2
2010;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;27.7
2011;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;28.3
2012;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;28.4
2013;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;28.4
2014;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;29.3
2015;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;29.8
2016;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;30.4
2017;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;31.0
2018;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus m. sav.;Miestas ir kaimas;m²;31.0
1995;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;18.9
1996;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;21.1
1997;Naudingasis plotas, tenkantis vienam gyventojui;Vilniaus r. sav.;Miestas ir kaimas;m²;21.1
