Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;14.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;14.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;18.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;19.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;12.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;16.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;8.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;12.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;13.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;13.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;15.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;15.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;21.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;142.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;146.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;167.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;184.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;230.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;226.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;235.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;285.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;52.0
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;54.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;58.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;60.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;70.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;74.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;80.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;91.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;4.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;5.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;5.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;6.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;12.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;14.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;16.0
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;21.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;18.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;15.9
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;20.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;19.6
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;19.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;21.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;23.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;27.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;27.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;43.9
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;41.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.6
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;13.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;17.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;15.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;17.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;9.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.7
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.7
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;14.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;20.0
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;13.1
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;15.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;18.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;28.2
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;26.9
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;21.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;26.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;9.0
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;10.7
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;10.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;9.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;13.0
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;9.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;14.1
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;12.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;10.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;17.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;1.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;1.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;2.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;4.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;5.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;6.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;6.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;9.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;5.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;6.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;6.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;7.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;8.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;10.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;10.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;11.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Kiti miestai;Piniginės ir natūrinės išlaidos;EUR;16.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;115.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;126.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;136.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;161.4
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;173.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;211.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;207.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Kaimas;Piniginės ir natūrinės išlaidos;EUR;248.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;60.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;62.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;63.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;66.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;72.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;80.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;81.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Kaimas;Piniginės ir natūrinės išlaidos;EUR;91.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;4.8
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;5.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.0
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;6.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Kaimas;Piniginės ir natūrinės išlaidos;EUR;11.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;7.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;8.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;12.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;13.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;16.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;13.4
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Kaimas;Piniginės ir natūrinės išlaidos;EUR;18.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Kaimas;Piniginės ir natūrinės išlaidos;EUR;9.4
