;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
7989;2009;Prienų r. sav.;31457.0;75 ir vyresni;2252.0;0.7779751332149201;24472.763765541742;6984.236234458258
7990;2010;Prienų r. sav.;30989.0;Iš viso pagal amžių;1121.0;0.5539696699375558;17166.966101694918;13822.033898305082
7991;2010;Prienų r. sav.;30989.0;0–4;937.0;0.46638207043756674;14452.713980789757;16536.286019210245
7992;2010;Prienų r. sav.;30989.0;5–9;959.0;0.47862356621480706;14832.065693430655;16156.934306569345
7993;2010;Prienų r. sav.;30989.0;10–14;943.0;0.46977730646871685;14557.928950159067;16431.07104984093
7994;2010;Prienų r. sav.;30989.0;15–19;923.0;0.4582881906825569;14201.892741061756;16787.107258938246
7995;2010;Prienų r. sav.;30989.0;20–24;923.0;0.4582881906825569;14201.892741061756;16787.107258938246
7996;2010;Prienų r. sav.;30989.0;25–29;857.0;0.41656942823803966;12909.070011668611;18079.929988331387
7997;2010;Prienų r. sav.;30989.0;30–34;895.0;0.44134078212290506;13676.709497206704;17312.290502793294
7998;2010;Prienų r. sav.;30989.0;35–39;991.0;0.4954591321897074;15353.783047426843;15635.216952573157
7999;2010;Prienų r. sav.;30989.0;40–44;1015.0;0.5073891625615763;15723.482758620688;15265.517241379312
8000;2010;Prienų r. sav.;30989.0;45–49;1012.0;0.5059288537549407;15678.229249011856;15310.770750988144
8001;2010;Prienų r. sav.;30989.0;50–54;1026.0;0.5126705653021443;15887.14814814815;15101.85185185185
8002;2010;Prienų r. sav.;30989.0;55–59;1014.0;0.5069033530571991;15708.428007889544;15280.571992110456
8003;2010;Prienų r. sav.;30989.0;60–64;1253.0;0.6009577015163607;18623.078212290504;12365.921787709496
8004;2010;Prienų r. sav.;30989.0;65–69;1455.0;0.6563573883161512;20339.85910652921;10649.14089347079
8005;2010;Prienų r. sav.;30989.0;70–74;1660.0;0.6987951807228916;21654.963855421687;9334.036144578313
8006;2010;Prienų r. sav.;30989.0;75 ir vyresni;2231.0;0.7758852532496638;24043.90811295383;6945.091887046168
8007;2011;Prienų r. sav.;29936.0;Iš viso pagal amžių;1126.0;0.5559502664298401;16642.927175843695;13293.072824156305
8008;2011;Prienų r. sav.;29936.0;0–4;899.0;0.4438264738598443;13286.3893214683;16649.610678531702
8009;2011;Prienų r. sav.;29936.0;5–9;1019.0;0.5093228655544652;15247.089303238468;14688.910696761532
8010;2011;Prienų r. sav.;29936.0;10–14;924.0;0.4588744588744589;13736.8658008658;16199.1341991342
8011;2011;Prienų r. sav.;29936.0;15–19;964.0;0.4813278008298755;14409.029045643152;15526.970954356848
8012;2011;Prienų r. sav.;29936.0;20–24;843.0;0.4068801897983393;12180.365361803086;17755.634638196912
8013;2011;Prienų r. sav.;29936.0;25–29;909.0;0.4499449944994499;13469.553355335533;16466.446644664466
8014;2011;Prienų r. sav.;29936.0;30–34;895.0;0.44134078212290506;13211.977653631286;16724.022346368714
8015;2011;Prienų r. sav.;29936.0;35–39;973.0;0.48612538540596095;14552.649537512847;15383.350462487153
8016;2011;Prienų r. sav.;29936.0;40–44;1010.0;0.504950495049505;15116.198019801981;14819.801980198019
8017;2011;Prienų r. sav.;29936.0;45–49;987.0;0.4934143870314083;14770.853090172239;15165.146909827761
8018;2011;Prienų r. sav.;29936.0;50–54;1038.0;0.5183044315992293;15515.96146435453;14420.03853564547
8019;2011;Prienų r. sav.;29936.0;55–59;1024.0;0.51171875;15318.8125;14617.1875
8020;2011;Prienų r. sav.;29936.0;60–64;1220.0;0.5901639344262295;17667.147540983606;12268.852459016394
8021;2011;Prienų r. sav.;29936.0;65–69;1449.0;0.6549344375431332;19606.117322291237;10329.882677708763
8022;2011;Prienų r. sav.;29936.0;70–74;1663.0;0.6993385447985568;20935.398677089597;9000.601322910403
8023;2011;Prienų r. sav.;29936.0;75 ir vyresni;2362.0;0.7883149872988993;23598.99745977985;6337.00254022015
8024;2012;Prienų r. sav.;29365.0;Iš viso pagal amžių;1128.0;0.5567375886524824;16348.599290780145;13016.400709219855
8025;2012;Prienų r. sav.;29365.0;0–4;911.0;0.4511525795828759;13248.09549945115;16116.90450054885
8026;2012;Prienų r. sav.;29365.0;5–9;998.0;0.498997995991984;14653.076152304611;14711.923847695389
