Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;994
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;981
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;975
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1010
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1001
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;985
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1012
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;999
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;999
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1070
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1111
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1097
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1144
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1113
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1109
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;1059
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;946
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Radviliškio r. sav.;35–39;asmenys;902
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1152
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1156
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1117
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1114
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1079
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1086
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1080
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1076
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1096
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1100
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1154
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1115
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1115
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1084
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1104
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1092
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;1051
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;924
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių m. sav.;35–39;asmenys;842
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1000
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1003
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1022
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1042
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1061
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1018
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1031
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1036
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1030
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1051
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1087
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1125
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1075
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1101
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1018
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;1017
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;974
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;926
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šiaulių r. sav.;35–39;asmenys;920
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;938
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;926
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;915
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;919
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;927
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;935
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;973
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;996
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1007
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;982
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1007
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1013
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1015
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1046
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1052
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1055
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1059
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1040
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1003
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1046
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1037
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1016
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1082
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės apskritis;35–39;asmenys;1045
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;952
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;979
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1010
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1039
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1010
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1019
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1005
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1009
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1015
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1089
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1047
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1035
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1019
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;925
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;934
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;929
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;977
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1084
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Jurbarko r. sav.;35–39;asmenys;1166
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;910
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;1003
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;1000
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;946
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;863
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;899
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;918
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;966
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;1039
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;987
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;952
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;973
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;876
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;934
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;943
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;884
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;791
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;887
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Pagėgių sav.;35–39;asmenys;833
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;886
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;908
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;906
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;889
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;868
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;940
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;993
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1010
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1059
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1033
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1044
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1042
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1029
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1038
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1043
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1066
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;997
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;1024
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilalės r. sav.;35–39;asmenys;998
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;958
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1002
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1040
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1068
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1059
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1061
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1051
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1032
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1060
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1055
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1089
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1099
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1092
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1048
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1146
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1130
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1103
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1155
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Tauragės r. sav.;35–39;asmenys;1037
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1007
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1012
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1002
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1008
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1006
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1019
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1015
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1032
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1023
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1020
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1043
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1059
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1071
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1081
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1113
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1085
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1082
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1074
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1054
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1044
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1055
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1051
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;1027
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Telšių apskritis;35–39;asmenys;989
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1055
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1049
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1082
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1079
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1079
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1071
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1087
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1079
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1071
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1117
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1099
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1098
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1087
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1090
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Mažeikių r. sav.;35–39;asmenys;1059
