Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1193
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1188
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1180
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1167
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1085
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1095
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1104
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1109
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Elektrėnų sav.;Iš viso pagal amžių;asmenys;1112
