;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men;possibility;group;men_proportion;group_men;age_woman;age_men
174;2006;Elektrėnų sav.;26973.0;15–19;936;0.468;12623.364000000001;14349.635999999999;0.0625;0.02925;0.532;0.03325;788.9602500000001;896.85225
175;2006;Elektrėnų sav.;26973.0;20–24;910;0.455;12272.715;14700.285;0.0625;0.0284375;0.5449999999999999;0.034062499999999996;767.0446875;918.7678124999999
176;2006;Elektrėnų sav.;26973.0;25–29;948;0.474;12785.202;14187.798;0.0625;0.029625;0.526;0.032875;799.075125;886.737375
177;2006;Elektrėnų sav.;26973.0;30–34;1007;0.5035;13580.905499999999;13392.094500000001;0.0625;0.03146875;0.49650000000000005;0.031031250000000003;848.8065937499999;837.0059062500001
178;2006;Elektrėnų sav.;26973.0;35–39;1026;0.513;13837.149;13135.851;0.0625;0.0320625;0.487;0.0304375;864.8218125;820.9906875
179;2006;Elektrėnų sav.;26973.0;40–44;1042;0.521;14052.933;12920.067;0.0625;0.0325625;0.479;0.0299375;878.3083125;807.5041875
180;2006;Elektrėnų sav.;26973.0;45–49;1071;0.5355;14444.0415;12528.9585;0.0625;0.03346875;0.4645;0.02903125;902.75259375;783.05990625
181;2006;Elektrėnų sav.;26973.0;50–54;1114;0.557;15023.961000000001;11949.038999999999;0.0625;0.0348125;0.44299999999999995;0.027687499999999997;938.9975625000001;746.8149374999999
182;2006;Elektrėnų sav.;26973.0;55–59;1168;0.584;15752.231999999998;11220.768000000002;0.0625;0.0365;0.41600000000000004;0.026000000000000002;984.5144999999999;701.2980000000001
183;2006;Elektrėnų sav.;26973.0;60–64;1328;0.664;17910.072;9062.928;0.0625;0.0415;0.33599999999999997;0.020999999999999998;1119.3795;566.433
184;2006;Elektrėnų sav.;26973.0;65–69;1365;0.6825;18409.0725;8563.927500000002;0.0625;0.04265625;0.3175;0.01984375;1150.56703125;535.24546875
185;2006;Elektrėnų sav.;26973.0;70–74;1890;0.945;25489.484999999997;1483.515000000003;0.0625;0.0590625;0.05500000000000005;0.003437500000000003;1593.0928124999998;92.71968750000008
186;2006;Elektrėnų sav.;26973.0;75 ir vyresni;2579;1.2895;34781.6835;-7808.683499999999;0.0625;0.08059375;0.2895000000000001;0.018093750000000006;2173.85521875;488.0427187500002
187;2007;Elektrėnų sav.;26654.0;Iš viso pagal amžių;1128;0.564;15032.855999999998;11621.144000000002;0.0625;0.03525;0.43600000000000005;0.027250000000000003;939.5534999999999;726.3215000000001
188;2007;Elektrėnų sav.;26654.0;0–4;1018;0.509;13566.886;13087.114;0.0625;0.0318125;0.491;0.0306875;847.930375;817.944625
189;2007;Elektrėnų sav.;26654.0;5–9;964;0.482;12847.228;13806.772;0.0625;0.030125;0.518;0.032375;802.95175;862.92325
190;2007;Elektrėnų sav.;26654.0;10–14;975;0.4875;12993.824999999999;13660.175000000001;0.0625;0.03046875;0.5125;0.03203125;812.1140624999999;853.7609375
191;2007;Elektrėnų sav.;26654.0;15–19;929;0.4645;12380.783000000001;14273.216999999999;0.0625;0.02903125;0.5355;0.03346875;773.7989375000001;892.0760624999999
192;2007;Elektrėnų sav.;26654.0;20–24;946;0.473;12607.341999999999;14046.658000000001;0.0625;0.0295625;0.527;0.0329375;787.9588749999999;877.9161250000001
