Laikotarpis;Rodiklis;Administracinė teritorija;Lytis;Matavimo vienetai;Reikšmė
2008;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;38.0
2009;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;38.0
2010;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;38.0
2011;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;39.0
2012;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;39.0
2013;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;40.0
2014;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;40.0
2015;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;41.0
2016;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;41.0
2017;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;41.0
2018;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;42.0
2019;Medianinis gyventojų amžius metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;metai;42.0
1970;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1971;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1972;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1973;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1974;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1975;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1976;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1977;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1978;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1979;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
1980;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;
