Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;12.1
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.1
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;6.0
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;5.2
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;5.5
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;10.8
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;17.3
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;13.5
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;11.4
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;11.4
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.8
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.1
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.3
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.1
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.8
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.5
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.1
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.5
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.9
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;4.8
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;3.4
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Trakų r. sav.;proc.;2.7
