;neighbourhood;street;municipality;houses;str_type
369;Antakalnis;Vinciūniškių Sodų 12-oji g. ;Vilnius;17;Sodas
370;Antakalnis;Vinciūniškių Sodų 13-oji g. ;Vilnius;13;Sodas
371;Antakalnis;Vinciūniškių Sodų 14-oji g. ;Vilnius;14;Sodas
372;Antakalnis;Vinciūniškių Sodų 15-oji g. ;Vilnius;15;Sodas
373;Antakalnis;Vinciūniškių Sodų 16-oji g. ;Vilnius;13;Sodas
374;Antakalnis;Vinciūniškių Sodų 17-oji g. ;Vilnius;7;Sodas
375;Antakalnis;Vinciūniškių Sodų 18-oji g. ;Vilnius;8;Sodas
376;Antakalnis;Vinciūniškių Sodų 19-oji g. ;Vilnius;11;Sodas
377;Antakalnis;Vinciūniškių Sodų 2-oji g. ;Vilnius;17;Sodas
378;Antakalnis;Vinciūniškių Sodų 20-oji g. ;Vilnius;10;Sodas
379;Antakalnis;Vinciūniškių Sodų 21-oji g. ;Vilnius;10;Sodas
380;Antakalnis;Vinciūniškių Sodų 22-oji g. ;Vilnius;7;Sodas
381;Antakalnis;Vinciūniškių Sodų 23-ioji g. ;Vilnius;7;Sodas
382;Antakalnis;Vinciūniškių Sodų 24-oji g. ;Vilnius;2;Sodas
383;Antakalnis;Vinciūniškių Sodų 3-ioji g. ;Vilnius;15;Sodas
384;Antakalnis;Vinciūniškių Sodų 4-oji g. ;Vilnius;9;Sodas
385;Antakalnis;Vinciūniškių Sodų 5-oji g. ;Vilnius;20;Sodas
386;Antakalnis;Vinciūniškių Sodų 6-oji g. ;Vilnius;15;Sodas
387;Antakalnis;Vinciūniškių Sodų 7-oji g. ;Vilnius;15;Sodas
388;Antakalnis;Vinciūniškių Sodų 8-oji g. ;Vilnius;21;Sodas
389;Antakalnis;Vinciūniškių Sodų 9-oji g. ;Vilnius;19;Sodas
390;Antakalnis;Vyrių Sodų 1-oji g. ;Vilnius;24;Sodas
391;Antakalnis;Vyrių Sodų 2-oji g. ;Vilnius;10;Sodas
392;Antakalnis;Vyrių Sodų 3-ioji g. ;Vilnius;7;Sodas
393;Antakalnis;Viršupio g. ;Vilnius;42 iš 44;Kitas
394;Antakalnis;Viršupio Sodų g. ;Vilnius;25;Sodas
395;Antakalnis;Viršupio Sodų 1-oji g. ;Vilnius;26;Sodas
396;Antakalnis;Viršupio Sodų 10-oji g. ;Vilnius;16;Sodas
397;Antakalnis;Viršupio Sodų 11-oji g. ;Vilnius;11;Sodas
398;Antakalnis;Viršupio Sodų 12-oji g. ;Vilnius;36;Sodas
399;Antakalnis;Viršupio Sodų 13-oji g. ;Vilnius;26;Sodas
400;Antakalnis;Viršupio Sodų 14-oji g. ;Vilnius;25;Sodas
401;Antakalnis;Viršupio Sodų 15-oji g. ;Vilnius;7;Sodas
402;Antakalnis;Viršupio Sodų 16-oji g. ;Vilnius;13;Sodas
403;Antakalnis;Viršupio Sodų 17-oji g. ;Vilnius;14;Sodas
404;Antakalnis;Viršupio Sodų 18-oji g. ;Vilnius;15;Sodas
405;Antakalnis;Viršupio Sodų 19-oji g. ;Vilnius;3;Sodas
406;Antakalnis;Viršupio Sodų 2-oji g. ;Vilnius;26;Sodas
407;Antakalnis;Viršupio Sodų 20-oji g. ;Vilnius;10;Sodas
408;Antakalnis;Viršupio Sodų 21-oji g. ;Vilnius;11;Sodas
409;Antakalnis;Viršupio Sodų 22-oji g. ;Vilnius;8;Sodas
410;Antakalnis;Viršupio Sodų 23-ioji g. ;Vilnius;6;Sodas
411;Antakalnis;Viršupio Sodų 3-ioji g. ;Vilnius;39;Sodas
412;Antakalnis;Viršupio Sodų 4-oji g. ;Vilnius;39;Sodas
413;Antakalnis;Viršupio Sodų 5-oji g. ;Vilnius;24;Sodas
414;Antakalnis;Viršupio Sodų 6-oji g. ;Vilnius;10;Sodas
415;Antakalnis;Viršupio Sodų 7-oji g. ;Vilnius;7;Sodas
416;Antakalnis;Viršupio Sodų 8-oji g. ;Vilnius;11;Sodas
417;Antakalnis;Viršupio Sodų 9-oji g. ;Vilnius;34;Sodas
418;Antakalnis;Vismaliukų g. ;Vilnius;94;Kitas
419;Antakalnis;Vismaliukų Sodų 1-oji g. ;Vilnius;32;Sodas
420;Antakalnis;Vismaliukų Sodų 2-oji g. ;Vilnius;25;Sodas
421;Antakalnis;Vismaliukų Sodų 3-ioji g. ;Vilnius;24;Sodas
422;Antakalnis;Vismaliukų Sodų 4-oji g. ;Vilnius;5;Sodas
423;Antakalnis;Vismaliukų Sodų 5-oji g. ;Vilnius;19;Sodas
424;Antakalnis;Vismaliukų Sodų 6-oji g. ;Vilnius;27;Sodas
425;Antakalnis;Vytauto Žalakevičiaus g. ;Vilnius;31;Kitas
426;Antakalnis;Volungės g. ;Vilnius;15;Kitas
427;Antakalnis;Žirgo g. ;Vilnius;133;Kitas
428;Antakalnis;Žirgo Sodų 1-oji g. ;Vilnius;17;Sodas
429;Antakalnis;Žirgo Sodų 2-oji g. ;Vilnius;16;Sodas
430;Antakalnis;Žirgo Sodų 3-ioji g. ;Vilnius;17;Sodas
431;Antakalnis;Žirgo Sodų 4-oji g. ;Vilnius;6;Sodas
432;Antakalnis;Žirgo Sodų 5-oji g. ;Vilnius;8;Sodas
433;Antakalnis;Žolyno g. ;Vilnius;65;Kitas
434;Antakalnis;Žuvėdrų g. ;Vilnius;60;Kitas
435;Antakalnis;Žvaigždikių g. ;Vilnius;54;Kitas
436;Justiniškės;Ežeraičio g. ;Vilnius;21;Kitas
437;Justiniškės;Helsinkio g.;Vilnius;;Kitas
438;Justiniškės;Justiniškių g. ;Vilnius;62 iš 124;Kitas
439;Justiniškės;Laisvės pr. ;Vilnius;11 iš 124;Kitas
440;Justiniškės;Lūžių g.;Vilnius;;Kitas
441;Justiniškės;Mozūriškių g. ;Vilnius;23;Kitas
442;Justiniškės;Rygos g. ;Vilnius;46 iš 53;Kitas
443;Justiniškės;Skatulės g. ;Vilnius;32;Kitas
444;Justiniškės;Taikos g. ;Vilnius;282;Kitas
445;Justiniškės;Talino g. ;Vilnius;37;Kitas
446;Fabijoniškės;A. Gelgaudo g. ;Vilnius;21;Kitas
447;Fabijoniškės;Ateities g. ;Vilnius;38 iš 74;Kitas
448;Fabijoniškės;Daubų g. ;Vilnius;10;Kitas
449;Fabijoniškės;Didlaukio g. ;Vilnius;12 iš 104;Kitas
450;Fabijoniškės;Dominiškių g. ;Vilnius;6;Kitas
451;Fabijoniškės;Duonos Kalno g. ;Vilnius;10;Kitas
452;Fabijoniškės;Dvynių g. ;Vilnius;6;Kitas
453;Fabijoniškės;Eglynlaukio g. ;Vilnius;9;Kitas
454;Fabijoniškės;Fabijoniškių g. ;Vilnius;99;Kitas
455;Fabijoniškės;Gedvydžių g. ;Vilnius;35;Kitas
456;Fabijoniškės;Gojavietės g. ;Vilnius;8;Kitas
457;Fabijoniškės;J. K. Chodkevičiaus g. ;Vilnius;31;Kitas
458;Fabijoniškės;Juliaus Juzeliūno g. ;Vilnius;12;Kitas
459;Fabijoniškės;Kaimelio g. ;Vilnius;36;Kitas
460;Fabijoniškės;Kęsgailų g. ;Vilnius;12;Kitas
461;Fabijoniškės;Kireniškių g. ;Vilnius;5;Kitas
462;Fabijoniškės;Kruopiškių g. ;Vilnius;5;Kitas
463;Fabijoniškės;L. Giros g. ;Vilnius;78 iš 80;Kitas
464;Fabijoniškės;Laiškiškių g. ;Vilnius;6;Kitas
465;Fabijoniškės;Lygių g. ;Vilnius;11;Kitas
466;Fabijoniškės;Liudviko Zamenhofo g. ;Vilnius;7;Kitas
467;Fabijoniškės;M. K. Šemetos g. ;Vilnius;21;Kitas
468;Fabijoniškės;Mergelės g. ;Vilnius;12;Kitas
469;Fabijoniškės;Mykolo Lietuvio g. ;Vilnius;14 iš 16;Kitas
470;Fabijoniškės;Mykolo Sleževičiaus g. ;Vilnius;6;Kitas
471;Fabijoniškės;Naujakiemio g. ;Vilnius;1 iš 52;Kitas
472;Fabijoniškės;Nuotakų g. ;Vilnius;8;Kitas
473;Fabijoniškės;Ožiaragio g. ;Vilnius;7;Kitas
474;Fabijoniškės;P. Žadeikos g. ;Vilnius;34;Kitas
475;Fabijoniškės;Paukščių Tako g. ;Vilnius;63;Kitas
476;Fabijoniškės;Pelėdūnų g. ;Vilnius;8;Kitas
477;Fabijoniškės;Prano Vaičaičio g. ;Vilnius;13 iš 19;Kitas
478;Fabijoniškės;Raudonupio g. ;Vilnius;10;Kitas
479;Fabijoniškės;Riaubonių g. ;Vilnius;13;Kitas
480;Fabijoniškės;S. Stanevičiaus g. ;Vilnius;126;Kitas
481;Fabijoniškės;Salaspilio g. ;Vilnius;3;Kitas
482;Fabijoniškės;Salomėjos Nėries g. ;Vilnius;57;Kitas
483;Fabijoniškės;Sidabro Kalno g. ;Vilnius;23;Kitas
484;Fabijoniškės;Svarstyklių g. ;Vilnius;23;Kitas
485;Fabijoniškės;Šventeliškių g. ;Vilnius;3;Kitas
486;Fabijoniškės;Ukmergės g. ;Vilnius;29 iš 146;Kitas
487;Fabijoniškės;Vandenio g. ;Vilnius;32 iš 34;Kitas
488;Fabijoniškės;Visorių g. ;Vilnius;15 iš 67;Kitas
489;Karoliniškės;Algimanto Petro Kavoliuko g. ;Vilnius;32;Kitas
490;Karoliniškės;Apolinaro Juozo Povilaičio g. ;Vilnius;15;Kitas
491;Karoliniškės;Dariaus Gerbutavičiaus g. ;Vilnius;10;Kitas
492;Karoliniškės;Igno Šimulionio g. ;Vilnius;10;Kitas
493;Karoliniškės;Joensū skv.;Vilnius;;Kitas
494;Karoliniškės;Laisvės pr. ;Vilnius;14 iš 124;Kitas
495;Karoliniškės;Loretos Asanavičiūtės g. ;Vilnius;41;Kitas
496;Karoliniškės;Mėnulio g. ;Vilnius;17;Kitas
497;Karoliniškės;Pilaitės pr. ;Vilnius;5 iš 15;Kitas
498;Karoliniškės;Rolando Jankausko g. ;Vilnius;18;Kitas
499;Karoliniškės;Sausio 13-osios g. ;Vilnius;33;Kitas
500;Karoliniškės;Sietyno g. ;Vilnius;18;Kitas
501;Karoliniškės;Vido Maciulevičiaus g. ;Vilnius;12;Kitas
502;Karoliniškės;Virginijaus Druskio g. ;Vilnius;14;Kitas
503;Karoliniškės;Vytauto Vaitkaus g. ;Vilnius;11;Kitas
504;Lazdynai;Ratilių g. ;Vilnius;20;Kitas
505;Lazdynai;Rūko g. ;Vilnius;31;Kitas
506;Lazdynai;Sutemų g. ;Vilnius;16;Kitas
507;Lazdynai;Šalnos g. ;Vilnius;23;Kitas
508;Lazdynai;Šaltūnų g. ;Vilnius;50;Kitas
509;Lazdynai;Šarmos g. ;Vilnius;18;Kitas
510;Lazdynai;Šerkšno g. ;Vilnius;18;Kitas
511;Lazdynai;Šiltnamių g. ;Vilnius;20;Kitas
512;Lazdynai;Ungurių g. ;Vilnius;19;Kitas
513;Lazdynai;Upėtakių g. ;Vilnius;15;Kitas
514;Lazdynai;Užutėkio g. ;Vilnius;27;Kitas
515;Lazdynai;Vakaro g. ;Vilnius;19;Kitas
516;Lazdynai;Vėgėlių g. ;Vilnius;6;Kitas
517;Lazdynai;Vinco Krėvės g. ;Vilnius;9;Kitas
518;Lazdynai;Žaros g. ;Vilnius;33;Kitas
519;Lazdynai;Žėručio g. ;Vilnius;22;Kitas
520;Naujamiestis;A. Domaševičiaus g. ;Vilnius;6;Kitas
521;Naujamiestis;A. Goštauto g. ;Vilnius;17;Kitas
522;Naujamiestis;A. Jakšto g. ;Vilnius;19;Kitas
523;Naujamiestis;A. Rotundo g. ;Vilnius;6;Kitas
524;Naujamiestis;A. Smetonos g. ;Vilnius;11;Kitas
525;Naujamiestis;A. Stulginskio g. ;Vilnius;4;Kitas
526;Naujamiestis;A. Vienuolio g. ;Vilnius;9;Kitas
527;Naujamiestis;A. Vivulskio g. ;Vilnius;49;Kitas
528;Naujamiestis;Aguonų g. ;Vilnius;11 iš 23;Kitas
529;Naujamiestis;Akmenų g. ;Vilnius;13;Kitas
530;Naujamiestis;Algirdo g. ;Vilnius;70;Kitas
531;Naujamiestis;Aludarių g. ;Vilnius;4;Kitas
532;Naujamiestis;Amatų g. ;Vilnius;4;Kitas
533;Naujamiestis;Ankštoji g. ;Vilnius;7;Kitas
534;Naujamiestis;Antano Tumėno g. ;Vilnius;2;Kitas
535;Naujamiestis;Aukų g. ;Vilnius;3;Kitas
536;Naujamiestis;Beatričės g. ;Vilnius;1;Kitas
537;Naujamiestis;Beržyno g. ;Vilnius;8;Kitas
538;Naujamiestis;Birželio 23-iosios g. ;Vilnius;17;Kitas
539;Naujamiestis;Dainavos g. ;Vilnius;5;Kitas
540;Naujamiestis;Gedimino pr. ;Vilnius;57 iš 78;Kitas
541;Naujamiestis;Geležinio Vilko g. ;Vilnius;9 iš 47;Kitas
542;Naujamiestis;Geležinkelio g. ;Vilnius;13 iš 19;Kitas
543;Naujamiestis;Gynėjų g. ;Vilnius;7;Kitas
544;Naujamiestis;J. Basanavičiaus g. ;Vilnius;45 iš 67;Kitas
545;Naujamiestis;J. Jablonskio g. ;Vilnius;5;Kitas
546;Naujamiestis;J. Jasinskio g. ;Vilnius;28;Kitas
547;Naujamiestis;J. Lelevelio g. ;Vilnius;3;Kitas
548;Naujamiestis;J. Savickio g. ;Vilnius;12;Kitas
549;Naujamiestis;J. Tumo-Vaižganto g. ;Vilnius;6;Kitas
550;Naujamiestis;Jogailos g. ;Vilnius;9 iš 16;Kitas
551;Naujamiestis;Jono Aisčio g. ;Vilnius;1 iš 29;Kitas
552;Naujamiestis;Jovaro g. ;Vilnius;11;Kitas
553;Naujamiestis;K. Donelaičio g. ;Vilnius;28;Kitas
554;Naujamiestis;K. Griniaus g.;Vilnius;;Kitas
555;Naujamiestis;K. Kalinausko g. ;Vilnius;21 iš 28;Kitas
556;Naujamiestis;Kaštonų g. ;Vilnius;10;Kitas
557;Naujamiestis;Kauno g. ;Vilnius;34 iš 45;Kitas
558;Naujamiestis;Kedrų g. ;Vilnius;6;Kitas
559;Naujamiestis;Kražių g. ;Vilnius;14;Kitas
560;Naujamiestis;Lentpjūvių skg. ;Vilnius;2;Kitas
561;Naujamiestis;Lukiškių g. ;Vilnius;8;Kitas
562;Naujamiestis;Lukiškių a. ;Vilnius;1;Kitas
563;Naujamiestis;Lukiškių skg. ;Vilnius;4;Kitas
564;Naujamiestis;M. K. Čiurlionio g. ;Vilnius;70 iš 81;Kitas
565;Naujamiestis;M. Valančiaus g. ;Vilnius;6;Kitas
566;Naujamiestis;Marijampolės g. ;Vilnius;8;Kitas
567;Naujamiestis;Mečetės g. ;Vilnius;2;Kitas
568;Naujamiestis;Mindaugo g. ;Vilnius;23 iš 40;Kitas
569;Naujamiestis;Muitinės g. ;Vilnius;7;Kitas
570;Naujamiestis;Naugarduko g. ;Vilnius;74 iš 89;Kitas
571;Naujamiestis;Nepriklausomybės a.;Vilnius;;Kitas
572;Naujamiestis;Nočios g. ;Vilnius;10;Kitas
573;Naujamiestis;P. Cvirkos a.;Vilnius;;Kitas
574;Naujamiestis;P. Klimo g. ;Vilnius;8;Kitas
575;Naujamiestis;P. Skorinos g. ;Vilnius;11;Kitas
576;Naujamiestis;Pakalnės g. ;Vilnius;10;Kitas
577;Naujamiestis;Pamėnkalnio g. ;Vilnius;36;Kitas
578;Naujamiestis;Panerių g. ;Vilnius;49 iš 52;Kitas
579;Naujamiestis;Pelesos g. ;Vilnius;8 iš 40;Kitas
580;Naujamiestis;Pylimo g. ;Vilnius;1 iš 77;Kitas
581;Naujamiestis;Punsko g. ;Vilnius;1;Kitas
582;Naujamiestis;Raseinių g. ;Vilnius;17;Kitas
583;Naujamiestis;Rožių al. ;Vilnius;4;Kitas
584;Naujamiestis;S. Konarskio g. ;Vilnius;40 iš 56;Kitas
585;Naujamiestis;Savanorių pr. ;Vilnius;27 iš 250;Kitas
586;Naujamiestis;Seinų g. ;Vilnius;2;Kitas
587;Naujamiestis;Simono Konarskio skv.;Vilnius;;Kitas
588;Naujamiestis;Smolensko g. ;Vilnius;20;Kitas
589;Naujamiestis;Sodų g. ;Vilnius;6 iš 28;Sodas
590;Naujamiestis;Statybininkų g. ;Vilnius;10;Kitas
591;Naujamiestis;Stoties g.;Vilnius;;Kitas
592;Naujamiestis;Suvalkų g. ;Vilnius;9;Kitas
593;Naujamiestis;Šaltinių g. ;Vilnius;17 iš 36;Kitas
594;Naujamiestis;Šermukšnių g. ;Vilnius;12;Kitas
595;Naujamiestis;Šv. Stepono g. ;Vilnius;8 iš 55;Kitas
596;Naujamiestis;Šviesos g. ;Vilnius;12;Kitas
597;Naujamiestis;Švitrigailos g. ;Vilnius;66;Kitas
598;Naujamiestis;T. Ševčenkos g. ;Vilnius;29;Kitas
599;Naujamiestis;Tauro g. ;Vilnius;11;Kitas
600;Naujamiestis;V. Mykolaičio-Putino g. ;Vilnius;6;Kitas
601;Naujamiestis;V. Pietario g. ;Vilnius;3 iš 8;Kitas
602;Naujamiestis;Vasario 16-osios g. ;Vilnius;8;Kitas
603;Naujamiestis;Vašingtono a. ;Vilnius;1;Kitas
604;Naujamiestis;Vilniaus g. ;Vilnius;3 iš 33;Kitas
605;Naujamiestis;Vinco Kudirkos g. ;Vilnius;15;Kitas
606;Naujamiestis;Vytenio g. ;Vilnius;47;Kitas
607;Naujamiestis;Z. Sierakausko g. ;Vilnius;19;Kitas
608;Naujamiestis;Žemaitės skv.;Vilnius;;Kitas
609;Naujamiestis;Žemaitės g. ;Vilnius;6 iš 23;Kitas
610;Naujininkai;A. Gustaičio g. ;Vilnius;19;Kitas
611;Naujininkai;A. Jaroševičiaus g. ;Vilnius;20;Kitas
612;Naujininkai;Adelės Dirsytės g.;Vilnius;;Kitas
613;Naujininkai;Adutiškio g. ;Vilnius;5;Kitas
614;Naujininkai;Aidukaičių g. ;Vilnius;33;Kitas
615;Naujininkai;Alberto Zalatoriaus g. ;Vilnius;5;Kitas
616;Naujininkai;Aleksandro Barausko g.;Vilnius;;Kitas
617;Naujininkai;Aleksandro Kuršaičio g. ;Vilnius;16;Kitas
618;Naujininkai;Aleksandro Vanago g.;Vilnius;;Kitas
619;Naujininkai;Algimanto Juozako g.;Vilnius;;Kitas
620;Naujininkai;Alytaus g. ;Vilnius;19;Kitas
621;Naujininkai;Alšėnų g. ;Vilnius;9;Kitas
622;Naujininkai;Antano Juškos g. ;Vilnius;3;Kitas
623;Naujininkai;Antano Mikėno g. ;Vilnius;8;Kitas
624;Naujininkai;Antano Musteikio g.;Vilnius;;Kitas
625;Naujininkai;Antano Salio g. ;Vilnius;12;Kitas
626;Naujininkai;Apso g. ;Vilnius;14;Kitas
627;Naujininkai;Asavos g. ;Vilnius;6;Kitas
628;Naujininkai;Augusto Šleicherio g. ;Vilnius;6;Kitas
629;Naujininkai;Avinėlių g. ;Vilnius;17;Kitas
630;Naujininkai;Baltosios Vokės g. ;Vilnius;5 iš 36;Kitas
631;Naujininkai;Baltosios Vokės Sodų g. ;Vilnius;64 iš 65;Sodas
632;Naujininkai;Barčių g. ;Vilnius;55;Kitas
633;Naujininkai;Bartų g. ;Vilnius;1;Kitas
634;Naujininkai;Barūnų g.;Vilnius;;Kitas
635;Naujininkai;Bernardo Brazdžionio g. ;Vilnius;20;Kitas
636;Naujininkai;Brolių g. ;Vilnius;17;Kitas
637;Naujininkai;Burbiškių g. ;Vilnius;24;Kitas
638;Naujininkai;Butkų Juzės g. ;Vilnius;12;Kitas
639;Naujininkai;Butrimonių g. ;Vilnius;18;Kitas
640;Naujininkai;Čigonų g.;Vilnius;;Kitas
641;Naujininkai;Danieliaus Kleino g. ;Vilnius;7;Kitas
642;Naujininkai;Dano Pozniako g. ;Vilnius;1;Kitas
643;Naujininkai;Darbininkų g. ;Vilnius;23;Kitas
644;Naujininkai;Dargiliškių g. ;Vilnius;16;Kitas
645;Naujininkai;Dariaus ir Girėno g. ;Vilnius;113;Kitas
646;Naujininkai;Daškūnų g. ;Vilnius;62;Kitas
647;Naujininkai;Daugų g. ;Vilnius;22;Kitas
648;Naujininkai;Dieveniškių g. ;Vilnius;5;Kitas
649;Naujininkai;Ditvos g.;Vilnius;;Kitas
650;Naujininkai;Drūkšių g. ;Vilnius;7;Kitas
651;Naujininkai;Dubičių g. ;Vilnius;13;Kitas
652;Naujininkai;Dusinėnų g. ;Vilnius;54;Kitas
653;Naujininkai;Dzūkų g. ;Vilnius;81 iš 83;Kitas
654;Naujininkai;Eišiškių pl. ;Vilnius;104 iš 111;Kitas
655;Naujininkai;Eišiškių Sodų 1-oji g. ;Vilnius;22;Sodas
656;Naujininkai;Eišiškių Sodų 10-oji g. ;Vilnius;12;Sodas
657;Naujininkai;Eišiškių Sodų 11-oji g. ;Vilnius;10;Sodas
658;Naujininkai;Eišiškių Sodų 12-oji g. ;Vilnius;34;Sodas
659;Naujininkai;Eišiškių Sodų 13-oji g. ;Vilnius;24;Sodas
660;Naujininkai;Eišiškių Sodų 14-oji g. ;Vilnius;3;Sodas
661;Naujininkai;Eišiškių Sodų 15-oji g. ;Vilnius;18;Sodas
662;Naujininkai;Eišiškių Sodų 16-oji g. ;Vilnius;38;Sodas
663;Naujininkai;Eišiškių Sodų 17-oji g. ;Vilnius;17;Sodas
664;Naujininkai;Eišiškių Sodų 18-oji g. ;Vilnius;9;Sodas
665;Naujininkai;Eišiškių Sodų 2-oji g. ;Vilnius;23;Sodas
666;Naujininkai;Eišiškių Sodų 3-ioji g. ;Vilnius;18;Sodas
667;Naujininkai;Eišiškių Sodų 4-oji g. ;Vilnius;12;Sodas
668;Naujininkai;Eišiškių Sodų 5-oji g. ;Vilnius;14;Sodas
669;Naujininkai;Eišiškių Sodų 6-oji g. ;Vilnius;26;Sodas
670;Naujininkai;Eišiškių Sodų 7-oji g. ;Vilnius;39;Sodas
671;Naujininkai;Eišiškių Sodų 8-oji g. ;Vilnius;13;Sodas
672;Naujininkai;Eišiškių Sodų 9-oji g. ;Vilnius;10;Sodas
673;Naujininkai;Fausto Kiršos g. ;Vilnius;28;Kitas
674;Naujininkai;Felikso Vaitkaus g. ;Vilnius;1;Kitas
675;Naujininkai;Gairinės g. ;Vilnius;23;Kitas
676;Naujininkai;Gamyklos g. ;Vilnius;12;Kitas
677;Naujininkai;Garvežių g. ;Vilnius;12;Kitas
678;Naujininkai;Geologų g. ;Vilnius;17;Kitas
679;Naujininkai;Geranainių g. ;Vilnius;22;Kitas
680;Naujininkai;Gervėbalės g. ;Vilnius;43;Kitas
681;Naujininkai;Gintaro Žagunio g.;Vilnius;;Kitas
682;Naujininkai;Griežlių g. ;Vilnius;3;Kitas
683;Naujininkai;Gudų g. ;Vilnius;20;Kitas
684;Naujininkai;Iešmininkų g. ;Vilnius;16;Kitas
685;Naujininkai;Igno Jonyno g. ;Vilnius;2;Kitas
686;Naujininkai;Ilgalaukio g. ;Vilnius;3;Kitas
687;Naujininkai;J. Bielinio g. ;Vilnius;18;Kitas
688;Naujininkai;Jašiūnų g. ;Vilnius;9;Kitas
689;Naujininkai;Javų g. ;Vilnius;2;Kitas
690;Naujininkai;Jono Aisčio g. ;Vilnius;28 iš 29;Kitas
691;Naujininkai;Jono Jurkšto g. ;Vilnius;3;Kitas
692;Naujininkai;Jotvingių g. ;Vilnius;11;Kitas
693;Naujininkai;Juozapo Strumilos g. ;Vilnius;5;Kitas
694;Naujininkai;Juozo Maceikos g. ;Vilnius;3;Kitas
695;Naujininkai;Jurgio Dobkevičiaus g. ;Vilnius;6;Kitas
696;Naujininkai;Jurgio Kybarto g.;Vilnius;;Kitas
697;Naujininkai;Kalvelių g. ;Vilnius;2;Kitas
698;Naujininkai;Kalviškių g. ;Vilnius;6;Kitas
699;Naujininkai;Kaminkelio g. ;Vilnius;47;Kitas
700;Naujininkai;Kapsų g. ;Vilnius;48;Kitas
701;Naujininkai;Karaliaus Šulinio g. ;Vilnius;31;Kitas
702;Naujininkai;Katiliškių g. ;Vilnius;37 iš 39;Kitas
703;Naujininkai;Katros g. ;Vilnius;13;Kitas
704;Naujininkai;Kelmijos g. ;Vilnius;59;Kitas
705;Naujininkai;Kelmijos Sodų 1-oji g. ;Vilnius;17;Sodas
706;Naujininkai;Kelmijos Sodų 10-oji g. ;Vilnius;44;Sodas
707;Naujininkai;Kelmijos Sodų 11-oji g. ;Vilnius;37;Sodas
708;Naujininkai;Kelmijos Sodų 12-oji g. ;Vilnius;38;Sodas
709;Naujininkai;Kelmijos Sodų 13-oji g. ;Vilnius;27;Sodas
710;Naujininkai;Kelmijos Sodų 14-oji g. ;Vilnius;8;Sodas
711;Naujininkai;Kelmijos Sodų 15-oji g. ;Vilnius;6;Sodas
712;Naujininkai;Kelmijos Sodų 16-oji g. ;Vilnius;11;Sodas
713;Naujininkai;Kelmijos Sodų 17-oji g. ;Vilnius;35;Sodas
714;Naujininkai;Kelmijos Sodų 18-oji g. ;Vilnius;31;Sodas
715;Naujininkai;Kelmijos Sodų 19-oji g. ;Vilnius;37;Sodas
716;Naujininkai;Kelmijos Sodų 2-oji g. ;Vilnius;13;Sodas
717;Naujininkai;Kelmijos Sodų 20-oji g. ;Vilnius;20;Sodas
718;Naujininkai;Kelmijos Sodų 21-oji g. ;Vilnius;25;Sodas
719;Naujininkai;Kelmijos Sodų 22-oji g. ;Vilnius;18;Sodas
720;Naujininkai;Kelmijos Sodų 23-ioji g. ;Vilnius;8;Sodas
721;Naujininkai;Kelmijos Sodų 24-oji g. ;Vilnius;34;Sodas
722;Naujininkai;Kelmijos Sodų 25-oji g. ;Vilnius;19;Sodas
723;Naujininkai;Kelmijos Sodų 26-oji g. ;Vilnius;14;Sodas
724;Naujininkai;Kelmijos Sodų 27-oji g. ;Vilnius;26;Sodas
725;Naujininkai;Kelmijos Sodų 28-oji g. ;Vilnius;9;Sodas
726;Naujininkai;Kelmijos Sodų 29-oji g. ;Vilnius;31;Sodas
727;Naujininkai;Kelmijos Sodų 3-ioji g. ;Vilnius;11;Sodas
728;Naujininkai;Kelmijos Sodų 30-oji g. ;Vilnius;20;Sodas
729;Naujininkai;Kelmijos Sodų 31-oji g. ;Vilnius;67;Sodas
730;Naujininkai;Kelmijos Sodų 32-oji g. ;Vilnius;47;Sodas
731;Naujininkai;Kelmijos Sodų 33-ioji g. ;Vilnius;15;Sodas
732;Naujininkai;Kelmijos Sodų 34-oji g. ;Vilnius;81;Sodas
733;Naujininkai;Kelmijos Sodų 35-oji g. ;Vilnius;10;Sodas
734;Naujininkai;Kelmijos Sodų 36-oji g. ;Vilnius;52;Sodas
735;Naujininkai;Kelmijos Sodų 37-oji g. ;Vilnius;13;Sodas
736;Naujininkai;Kelmijos Sodų 38-oji g. ;Vilnius;27;Sodas
737;Naujininkai;Kelmijos Sodų 39-oji g. ;Vilnius;31;Sodas
738;Naujininkai;Kelmijos Sodų 4-oji g. ;Vilnius;10;Sodas
739;Naujininkai;Kelmijos Sodų 40-oji g. ;Vilnius;23;Sodas
740;Naujininkai;Kelmijos Sodų 41-oji g. ;Vilnius;33;Sodas
741;Naujininkai;Kelmijos Sodų 42-oji g. ;Vilnius;10;Sodas
742;Naujininkai;Kelmijos Sodų 43-ioji g. ;Vilnius;40;Sodas
743;Naujininkai;Kelmijos Sodų 44-oji g. ;Vilnius;29;Sodas
744;Naujininkai;Kelmijos Sodų 45-oji g. ;Vilnius;6;Sodas
745;Naujininkai;Kelmijos Sodų 46-oji g. ;Vilnius;9;Sodas
746;Naujininkai;Kelmijos Sodų 47-oji g. ;Vilnius;17;Sodas
747;Naujininkai;Kelmijos Sodų 48-oji g. ;Vilnius;15;Sodas
748;Naujininkai;Kelmijos Sodų 49-oji g. ;Vilnius;10;Sodas
749;Naujininkai;Kelmijos Sodų 5-oji g. ;Vilnius;5;Sodas
