id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
1518;Paribiog.;Gyvenamoji (trys ir daugiau butų);3133.06;2862.36;1968.0;;Nerenovuotas;;49.0;0.0;0.0;28
1519;Parkog.;Gyvenamoji (įvairioms socialinėms grupėms);4577.15;4202.24;1980.0;;Nerenovuotas;;118.0;2.0;0.0;52
1520;Parkog.;Gyvenamoji (trys ir daugiau butų);2225.72;0.0;2003.0;;Nerenovuotas;;29.0;10.0;0.0;53A
1521;Parkog.;Gyvenamoji (trys ir daugiau butų);0.0;3939.38;1980.0;;Nerenovuotas;;95.0;1.0;0.0;60
1522;Parkog.;Gyvenamoji (trys ir daugiau butų);0.0;4623.59;1984.0;;Nerenovuotas;;124.0;0.0;0.0;69
1523;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);9298.48;7299.93;2002.0;;Nerenovuotas;;113.0;0.0;0.0;1
1524;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;4252.78;1994.0;;Nerenovuotas;D;72.0;0.0;0.0;11
1525;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1281.67;1281.67;1994.0;;Nerenovuotas;D;12.0;0.0;0.0;11
1526;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1246.19;1994.0;;Nerenovuotas;D;12.0;0.0;0.0;11
1527;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1267.39;1267.39;1988.0;;Nerenovuotas;D;12.0;0.0;0.0;14
1528;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1349.71;1349.71;1988.0;;Renovuojamas;D;12.0;0.0;0.0;14
1529;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5636.96;4258.67;1988.0;2017.0;Renovuotas;;72.0;0.0;0.0;14
1530;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5644.63;4277.67;1994.0;;Nerenovuotas;D;72.0;1.0;0.0;15
1531;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1418.74;1418.74;1994.0;;Nerenovuotas;D;12.0;0.0;0.0;15
1532;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1343.14;1343.14;1994.0;;Nerenovuotas;D;12.0;0.0;0.0;15
1533;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1278.69;1989.0;2017.0;Renovuotas;;12.0;0.0;0.0;16
1534;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5625.52;4242.11;1989.0;;Nerenovuotas;D;72.0;0.0;0.0;16
1535;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1364.4;1989.0;2017.0;Renovuotas;;12.0;0.0;0.0;16
1536;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5542.11;4941.57;1996.0;;Nerenovuotas;;68.0;1.0;0.0;17
1537;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1320.63;1039.07;1996.0;;Nerenovuotas;;12.0;0.0;0.0;17
1538;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1327.71;1015.29;1996.0;;Nerenovuotas;;12.0;0.0;0.0;17
1539;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1281.98;1990.0;;Galimai renovuotųsi;D;12.0;0.0;0.0;2
1540;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1395.92;1395.92;1990.0;;Galimai renovuotųsi;D;12.0;0.0;0.0;2
1541;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5655.15;4267.11;1990.0;;Galimai renovuotųsi;D;72.0;0.0;0.0;2
1542;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1376.51;1376.51;1989.0;;Nerenovuotas;D;12.0;0.0;0.0;20
1543;Laisvėspr.;Gyvenamoji (trys ir daugiau butų);1275.19;1271.6;1989.0;;Nerenovuotas;D;12.0;0.0;0.0;53A
1544;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5493.97;4188.11;1989.0;;Nerenovuotas;D;72.0;0.0;0.0;20
1545;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1277.02;1277.02;1990.0;;Nerenovuotas;D;12.0;0.0;0.0;3
1546;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5622.58;4230.11;1990.0;;Nerenovuotas;D;72.0;0.0;0.0;3
1547;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1461.08;1461.08;1990.0;;Nerenovuotas;D;12.0;0.0;0.0;3
1548;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5629.14;4264.11;1989.0;;Renovuotas;;72.0;0.0;0.0;4
1549;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1366.42;1366.42;1990.0;;Renovuojamas;D;12.0;0.0;0.0;4
1550;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1295.33;1295.33;1990.0;;Renovuojamas;D;12.0;0.0;0.0;4
1551;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1278.68;1278.68;1993.0;;Nerenovuotas;D;12.0;0.0;0.0;5
1552;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1357.29;1357.29;1993.0;;Nerenovuotas;D;12.0;0.0;0.0;5
1553;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5630.84;4243.78;1993.0;;Nerenovuotas;D;72.0;0.0;0.0;5
1554;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);13894.15;4190.89;1990.0;2016.0;Renovuotas;C;72.0;0.0;0.0;6
1555;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1478.06;1478.06;1990.0;;Nerenovuotas;D;12.0;0.0;0.0;6
1556;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1290.54;1290.54;1990.0;;Nerenovuotas;D;12.0;0.0;0.0;6
1557;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5525.16;5051.64;1990.0;;Nerenovuotas;D;71.0;0.0;0.0;8
1558;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1478.06;1478.06;1990.0;2016.0;Renovuotas;D;12.0;0.0;0.0;8
1559;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1290.54;1990.0;2016.0;Renovuotas;D;12.0;0.0;0.0;8
1560;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1276.43;1276.43;1990.0;;Renovuojamas;D;12.0;0.0;0.0;9
1561;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);1478.06;1478.06;1990.0;;Renovuojamas;D;12.0;0.0;0.0;9
1562;Pašilaičiųg.;Gyvenamoji (trys ir daugiau butų);5540.5;4251.67;1990.0;;Nerenovuotas;D;72.0;0.0;0.0;9
1563;Paštog.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;;;Nerenovuotas;;;0.0;0.0;5
1564;Paštog.;Gyvenamoji (trys ir daugiau butų);182.9;155.78;1973.0;;Nerenovuotas;;;0.0;0.22;6
1565;Paštog.;Gyvenamoji (trys ir daugiau butų);27.02;24.02;1940.0;;Nerenovuotas;;1.0;0.0;0.0;7
1566;Paupiog.;Gyvenamoji (trys ir daugiau butų);854.4;570.33;1940.0;;Nerenovuotas;;15.0;3.0;0.0;14
1567;Paupiog.;Gyvenamoji (trys ir daugiau butų);1065.41;571.82;1960.0;;Nerenovuotas;;6.0;1.0;0.0;31A
1568;Pavilnioniųg.;Gyvenamoji (trys ir daugiau butų);8485.63;4077.03;2012.0;;Nerenovuotas;;79.0;0.0;0.84;10
1569;Pavilnioniųg.g.;Gyvenamoji (trys ir daugiau butų);5954.53;2598.62;2008.0;;Nerenovuotas;C;40.0;8.0;0.0;31
1570;Pavilnioniųg.g.;Gyvenamoji (trys ir daugiau butų);5000.9;2600.95;2008.0;;Nerenovuotas;C;40.0;8.0;0.0;33
1571;Pavilnioniųg.g.;Gyvenamoji (trys ir daugiau butų);4734.04;2602.86;2008.0;;Nerenovuotas;C;40.0;7.0;0.0;35
1572;Pelesosg.;Gyvenamoji (trys ir daugiau butų);2361.95;1334.36;1957.0;;Renovuojamas;E;21.0;3.0;0.0;35
1573;Pelesosg.;Gyvenamoji (trys ir daugiau butų);205.56;150.19;1940.0;;Nerenovuotas;;4.0;0.0;0.0;69
1574;Pempiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;;;Nerenovuotas;;;0.0;0.0;5
1575;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);3625.67;3402.25;2009.0;;Nerenovuotas;;53.0;8.0;0.0;31
1576;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);4800.22;4121.85;2009.0;;Nerenovuotas;;72.0;13.0;0.0;33
1577;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);7186.58;6721.35;2009.0;;Nerenovuotas;;110.0;26.0;0.0;35
1578;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);3059.24;2801.7;2009.0;;Nerenovuotas;;43.0;12.0;0.0;37
1579;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);6799.03;6336.85;2009.0;;Nerenovuotas;;102.0;26.0;0.0;39
1580;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);4198.33;3868.09;2007.0;;Nerenovuotas;;72.0;20.0;0.0;41
1581;Perkūnkiemiog.;Gyvenamoji (trys ir daugiau butų);5571.71;4905.13;2007.0;;Nerenovuotas;B;81.0;84.0;1.59;8
1582;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1451.94;1191.48;1978.0;;Nerenovuotas;;22.0;0.0;0.0;16
1583;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1460.58;1234.46;1979.0;2016.0;Renovuotas;C;22.0;0.0;0.0;10
1584;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1479.23;1226.04;1979.0;;Nerenovuotas;;22.0;0.0;0.0;12
1585;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1482.29;1216.24;1978.0;;Nerenovuotas;;22.0;0.0;0.0;14
1586;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1441.68;1210.85;1979.0;;Renovuojamas;;22.0;1.0;0.0;2
1587;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1469.42;1221.28;1980.0;;Nerenovuotas;;22.0;0.0;0.0;22
1588;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1462.6;1196.16;1981.0;;Nerenovuotas;;22.0;0.0;0.0;24
1589;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1452.22;1186.67;1981.0;;Nerenovuotas;;22.0;0.0;0.0;26
1590;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1497.23;1218.07;1979.0;;Nerenovuotas;;22.0;0.0;0.0;4
1591;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);2717.4;2253.18;1976.0;;Nerenovuotas;;39.0;0.0;0.0;46
1592;Peteliškiųg.;Gyvenamoji (trys ir daugiau butų);1526.15;1297.96;1978.0;2016.0;Renovuotas;B;22.0;0.0;0.0;6
1593;PetroRimšosg.;Gyvenamoji (trys ir daugiau butų);852.02;563.9;1998.0;;Nerenovuotas;;3.0;0.0;0.0;12
1594;PetroRimšosg.;Gyvenamoji (trys ir daugiau butų);365.09;283.92;1940.0;;Nerenovuotas;;6.0;0.0;0.0;6
1595;PetroRimšosg.;Gyvenamoji (trys ir daugiau butų);4113.63;3247.55;1995.0;;Nerenovuotas;;23.0;18.0;0.0;8
1596;PetroRimšosg.;Gyvenamoji (trys ir daugiau butų);966.79;813.79;1994.0;;Nerenovuotas;;3.0;0.0;0.0;9
1597;Pijųg.;Gyvenamoji (trys ir daugiau butų);140.1;137.1;;;Nerenovuotas;;3.0;0.0;0.89;16
1598;Piliakalniog.;Gyvenamoji (trys ir daugiau butų);333.36;224.03;1940.0;;Nerenovuotas;;6.0;0.0;0.0;12
1599;Piliakalniog.;Gyvenamoji (trys ir daugiau butų);171.85;126.44;1940.0;;Nerenovuotas;;3.0;0.0;0.0;14
1600;Piliakalniog.;Gyvenamoji (trys ir daugiau butų);146.01;146.01;1940.0;;Nerenovuotas;;4.0;0.0;0.0;4
1601;Piliakalniog.;Gyvenamoji (trys ir daugiau butų);199.13;173.1;1940.0;;Nerenovuotas;;4.0;0.0;0.0;8
1602;Piliesg.;Gyvenamoji (trys ir daugiau butų);2345.36;1680.42;1940.0;;Nerenovuotas;;29.0;4.0;0.0;23
1603;Pylimėliųg.;Gyvenamoji (trys ir daugiau butų);2928.31;2518.84;2016.0;;Nerenovuotas;;36.0;1.0;0.21;44A
1604;Pylimog.;Gyvenamoji (trys ir daugiau butų);3087.31;2371.9;1940.0;;Nerenovuotas;;29.0;5.0;0.0;20
1605;Pylimog.;Gyvenamoji (dviejų butų pastatas);161.24;106.04;1940.0;;Nerenovuotas;;1.0;1.0;0.0;22C
1606;Pylimog.;Gyvenamoji (trys ir daugiau butų);3172.78;2157.42;1940.0;;Nerenovuotas;;20.0;8.0;0.0;22D
1607;Pylimog.;Gyvenamoji (trys ir daugiau butų);1554.41;637.64;1958.0;;Nerenovuotas;E;8.0;3.0;0.0;36
1608;Pylimog.;Gyvenamoji (trys ir daugiau butų);627.48;382.81;1940.0;;Nerenovuotas;E;5.0;3.0;0.85;55
1609;Pylimog.;Gyvenamoji (trys ir daugiau butų);1009.5;822.11;1940.0;;Nerenovuotas;E;10.0;5.0;0.06;57
1610;Plytinėsg.;Gyvenamoji (trys ir daugiau butų);11583.59;7975.44;2006.0;;Nerenovuotas;;108.0;8.0;0.53;29
1611;Polockog.;Gyvenamoji (trys ir daugiau butų);911.4;714.23;1940.0;2016.0;Renovuotas;;14.0;0.0;0.0;16
1612;Polockog.;Gyvenamoji (trys ir daugiau butų);2532.87;1136.61;2015.0;;Nerenovuotas;B;15.0;3.0;0.26;40
1613;Polockog.;Gyvenamoji (trys ir daugiau butų);1372.97;1212.01;2015.0;;Nerenovuotas;B;15.0;18.0;0.26;42
1614;Polockog.;Gyvenamoji (trys ir daugiau butų);1266.86;1047.38;1979.0;2017.0;Renovuotas;;20.0;0.0;0.0;43
1615;Polockog.;Gyvenamoji (trys ir daugiau butų);758.97;546.92;2010.0;;Nerenovuotas;;3.0;0.0;0.1;55
1616;Polockog.;Gyvenamoji (trys ir daugiau butų);964.83;893.39;1940.0;;Nerenovuotas;;10.0;1.0;0.18;9
1617;Polockog.;Gyvenamoji (trys ir daugiau butų);490.72;265.56;1940.0;;Nerenovuotas;;6.0;2.0;0.18;9
1618;Popieriausg.;Gyvenamoji (trys ir daugiau butų);485.47;400.79;1967.0;;Nerenovuotas;;3.0;0.0;0.0;94
1619;Pranciškonųg.;Gyvenamoji (trys ir daugiau butų);379.2;355.19;1940.0;;Nerenovuotas;;4.0;1.0;0.0;4A
1620;Pranciškonųg.;Gyvenamoji (trys ir daugiau butų);141.06;105.2;1940.0;;Nerenovuotas;;3.0;1.0;0.0;4A
1621;Pranciškonųg.;Gyvenamoji (trys ir daugiau butų);1167.38;777.44;1940.0;;Nerenovuotas;;11.0;1.0;0.0;4A
1622;Pranciškonųg.;Gyvenamoji (trys ir daugiau butų);589.1;580.62;1940.0;;Nerenovuotas;;9.0;1.0;0.0;4A
1623;Priegliausg.;Gyvenamoji (trys ir daugiau butų);11113.61;7153.17;2012.0;;Nerenovuotas;B;135.0;79.0;0.64;17
1624;Priegliausg.;Gyvenamoji (trys ir daugiau butų);2989.59;2964.64;2015.0;;Nerenovuotas;;63.0;0.0;0.59;3
1625;Priegliausg.;Gyvenamoji (trys ir daugiau butų);3463.78;3260.42;2008.0;;Nerenovuotas;;59.0;4.0;0.0;8
1626;Priegliausg.;Gyvenamoji (trys ir daugiau butų);2439.4;2238.14;2008.0;;Nerenovuotas;;39.0;39.0;0.0;9
1627;Prūsųg.;Gyvenamoji (trys ir daugiau butų);74.98;74.98;1947.0;;Nerenovuotas;;3.0;0.0;0.0;36
1628;Prūsųg.;Gyvenamoji (trys ir daugiau butų);3069.9;2777.4;1972.0;;Nerenovuotas;;51.0;0.0;0.0;8
1629;Pušųg.;Gyvenamoji (trys ir daugiau butų);325.14;253.94;1940.0;;Nerenovuotas;;5.0;1.0;0.0;2
1630;Pušųg.;Gyvenamoji (trys ir daugiau butų);259.84;209.96;1938.0;;Nerenovuotas;;3.0;0.0;0.0;31
1631;Pušųg.;Gyvenamoji (trys ir daugiau butų);750.36;527.97;1957.0;;Nerenovuotas;;8.0;1.0;0.11;41
1632;Pušųg.;Gyvenamoji (trys ir daugiau butų);3852.91;2926.06;1970.0;;Nerenovuotas;;42.0;2.0;0.0;6
1633;R.Jankauskog.;Gyvenamoji (trys ir daugiau butų);1868.4;1567.5;1972.0;;Nerenovuotas;;30.0;0.0;0.0;13
1634;R.Jankauskog.;Gyvenamoji (trys ir daugiau butų);1567.6;1567.6;1972.0;;Nerenovuotas;;30.0;0.0;0.0;13
1635;Raitininkųg.;Gyvenamoji (trys ir daugiau butų);4422.03;2909.32;2006.0;;Nerenovuotas;;43.0;2.0;0.0;6
1636;Raitininkųg.;Gyvenamoji (trys ir daugiau butų);4740.5;0.0;2006.0;;Nerenovuotas;C;57.0;2.0;0.0;8
1637;Raitininkųg.;Gyvenamoji (trys ir daugiau butų);2453.54;985.49;2007.0;;Nerenovuotas;C;8.0;7.0;0.14;8A
1638;Raseiniųg.;Gyvenamoji (trys ir daugiau butų);2935.54;2323.88;1969.0;2010.0;Renovuotas;C;24.0;3.0;0.34;10
1639;Raseiniųg.;Gyvenamoji (trys ir daugiau butų);1914.11;1512.97;1968.0;2010.0;Renovuotas;C;16.0;0.0;0.34;8
1640;Rasųg.;Gyvenamoji (trys ir daugiau butų);372.85;350.39;1940.0;;Nerenovuotas;;8.0;0.0;0.0;22
1641;Rasųg.;Gyvenamoji (trys ir daugiau butų);152.13;152.13;1940.0;;Nerenovuotas;G;4.0;0.0;0.08;24
1642;Ratnyčiosg.;Gyvenamoji (trys ir daugiau butų);164.51;145.81;1980.0;;Nerenovuotas;;3.0;0.0;0.0;37
1643;Ratnyčiosg.;Gyvenamoji (trys ir daugiau butų);226.84;188.36;1958.0;;Nerenovuotas;;4.0;0.0;0.0;7
1644;Ratog.;Gyvenamoji (trys ir daugiau butų);1578.73;1099.68;2007.0;;Nerenovuotas;;14.0;4.0;0.17;12C
1645;Raugyklosg.;Gyvenamoji (trys ir daugiau butų);1046.71;749.46;1940.0;;Nerenovuotas;;11.0;1.0;0.19;11
1646;Raugyklosg.;Gyvenamoji (trys ir daugiau butų);2109.38;1913.53;1940.0;;Nerenovuotas;D;23.0;2.0;0.0;13
1647;RibiškiųDidžiojig.;Gyvenamoji (trys ir daugiau butų);165.74;165.74;1939.0;;Nerenovuotas;;3.0;0.0;0.0;13
1648;RibiškiųDidžiojig.;Gyvenamoji (trys ir daugiau butų);162.38;162.38;1936.0;;Nerenovuotas;;4.0;0.0;0.0;7
1649;Ribiškiųtak.;Gyvenamoji (trys ir daugiau butų);168.19;168.19;1940.0;;Nerenovuotas;;3.0;0.0;0.0;11
1650;Riešutųg.;Gyvenamoji (trys ir daugiau butų);168.86;161.84;1991.0;;Nerenovuotas;;4.0;0.0;0.0;7
1651;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1626.07;1501.68;1976.0;;Nerenovuotas;;27.0;0.0;0.0;13
1652;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);4185.89;3772.98;1976.0;;Nerenovuotas;;72.0;0.0;0.0;13
1653;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1627.56;1504.19;1976.0;;Nerenovuotas;;27.0;0.0;0.0;13
1654;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1625.55;1501.68;1976.0;2011.0;Renovuotas;B;27.0;0.0;0.0;19
1655;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1886.27;1573.6;1976.0;2011.0;Renovuotas;C;30.0;0.0;0.0;19
1656;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);0.0;3773.06;1976.0;2010.0;Dalinė renovacija;C;72.0;0.0;0.0;19
1657;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1670.15;1504.3;1976.0;2010.0;Dalinė renovacija;C;27.0;2.0;0.0;19
1658;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);6311.77;5607.43;1976.0;;Renovuojamas;D;107.0;1.0;0.0;35
1659;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);2335.43;1264.18;1959.0;;Planuojamas renovuoti;D;19.0;4.0;0.15;38
1660;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);1725.51;1725.51;1958.0;;Galimai renovuotųsi;;25.0;3.0;0.0;40
1661;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);0.0;1894.18;1963.0;2015.0;Renovuotas;C;45.0;0.0;0.0;42A
1662;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);2266.29;1899.81;1964.0;2015.0;Renovuotas;C;48.0;0.0;0.0;44A
1663;Rinktinėsg.;Gyvenamoji (trys ir daugiau butų);4203.72;3772.62;1976.0;;Nerenovuotas;;72.0;0.0;0.0;53
1664;Rygosg.;Gyvenamoji (trys ir daugiau butų);4693.73;3150.56;2000.0;;Nerenovuotas;D;48.0;51.0;0.0;17A
1665;Rygosg.;Gyvenamoji (trys ir daugiau butų);6191.82;0.0;1988.0;;Nerenovuotas;;86.0;0.0;0.0;26
1666;Rygosg.;Gyvenamoji (trys ir daugiau butų);4257.47;3312.56;1985.0;;Nerenovuotas;;80.0;0.0;0.0;42
1667;Rygosg.;Gyvenamoji (trys ir daugiau butų);3339.21;3066.8;2009.0;;Nerenovuotas;B;45.0;6.0;1.68;44
1668;Rygosg.;Gyvenamoji (trys ir daugiau butų);2230.1;2046.03;2009.0;;Nerenovuotas;B;30.0;4.0;1.68;48
1669;Rygosg.;Gyvenamoji (trys ir daugiau butų);20972.92;12752.47;2007.0;;Nerenovuotas;C;185.0;32.0;0.46;6
1670;Rygosg.;Gyvenamoji (trys ir daugiau butų);5393.58;4471.87;1982.0;;Nerenovuotas;;80.0;0.0;0.0;7
1671;Rytųg.;Gyvenamoji (trys ir daugiau butų);84.5;76.67;1940.0;;Nerenovuotas;;3.0;0.0;0.0;10
1672;Rytųg.;Gyvenamoji (trys ir daugiau butų);199.95;197.87;1960.0;;Nerenovuotas;;3.0;0.0;0.0;13
1673;Rudensg.;Gyvenamoji (trys ir daugiau butų);610.03;498.51;1990.0;;Nerenovuotas;;4.0;0.0;0.13;35B
1674;Rudensg.;Gyvenamoji (trys ir daugiau butų);220.91;144.95;1962.0;;Nerenovuotas;;3.0;0.0;0.0;38
1675;Rudensg.;Gyvenamoji (trys ir daugiau butų);252.77;231.42;1960.0;;Nerenovuotas;;4.0;0.0;0.0;39
1676;Rūdninkųg.;Gyvenamoji (trys ir daugiau butų);1634.2;1136.88;1940.0;;Nerenovuotas;;13.0;3.0;0.13;16
1677;Rugiųg.;Gyvenamoji (trys ir daugiau butų);2843.82;2582.45;1995.0;;Nerenovuotas;;32.0;0.0;0.0;14
1678;Rugiųg.;Gyvenamoji (trys ir daugiau butų);3390.53;3122.8;2002.0;;Nerenovuotas;;43.0;0.0;0.0;18
1679;Rukeliškiųg.;Gyvenamoji (trys ir daugiau butų);191.82;191.82;1940.0;;Nerenovuotas;;4.0;0.0;0.0;14
1680;Rukeliškiųg.;Gyvenamoji (trys ir daugiau butų);554.69;523.14;1972.0;;Nerenovuotas;;6.0;0.0;0.0;17
1681;Rukeliškiųg.;Gyvenamoji (trys ir daugiau butų);1652.67;1136.37;1983.0;;Galimai renovuotųsi;;15.0;1.0;3.11;30
1682;Rukeliškiųg.;Gyvenamoji (trys ir daugiau butų);844.02;594.62;1972.0;;Nerenovuotas;;6.0;8.0;0.0;46
1683;Rūkog.;Gyvenamoji (trys ir daugiau butų);1223.58;1114.53;2006.0;;Nerenovuotas;;6.0;0.0;0.0;21
1684;Rūkog.;Gyvenamoji (trys ir daugiau butų);1130.89;813.16;2012.0;;Nerenovuotas;;2.0;0.0;0.18;5A
1685;S.Batorog.;Gyvenamoji (trys ir daugiau butų);105.42;105.42;;;Nerenovuotas;;3.0;0.0;0.0;54
1686;S.Daukantoa.;Gyvenamoji (trys ir daugiau butų);1379.98;995.33;1940.0;;Nerenovuotas;;9.0;4.0;0.0;2A
1687;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);4094.94;3237.59;1977.0;2016.0;Renovuotas;;60.0;0.0;0.0;10
1688;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2430.42;2065.12;1977.0;2016.0;Renovuotas;;35.0;0.0;0.0;10A
1689;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2496.26;2092.07;1977.0;2016.0;Renovuotas;;36.0;0.0;0.0;12
1690;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2656.08;2124.52;1977.0;2017.0;Renovuotas;;40.0;0.0;0.0;14
1691;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2733.68;2190.71;1977.0;2016.0;Renovuotas;;40.0;0.0;0.0;16
1692;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);3978.02;3226.75;1977.0;2017.0;Renovuotas;;60.0;0.0;0.0;18
1693;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);183.3;183.3;1928.0;;Nerenovuotas;;4.0;0.0;0.0;19
1694;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2411.12;2052.12;1977.0;2016.0;Renovuotas;;35.0;0.0;0.0;20
1695;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2530.43;2124.9;1977.0;2016.0;Renovuotas;;36.0;0.0;0.0;22
1696;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);287.02;254.33;1940.0;;Nerenovuotas;;10.0;0.0;0.0;22D
1697;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);3256.56;2714.91;1976.0;;Nerenovuotas;;45.0;0.0;0.0;24
1698;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);1736.18;1433.03;1978.0;;Nerenovuotas;;25.0;0.0;0.0;24
1699;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);1280.77;1093.49;1978.0;;Nerenovuotas;;20.0;0.0;0.0;24
1700;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2717.55;2280.31;1987.0;;Nerenovuotas;;40.0;0.0;0.0;24
1701;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);3113.57;0.0;1993.0;;Nerenovuotas;;39.0;0.0;0.0;28
1702;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);193.74;178.79;1940.0;;Nerenovuotas;;4.0;0.0;0.0;30B
1703;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2995.97;2403.42;1996.0;;Nerenovuotas;;30.0;0.0;0.0;32
1704;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2845.24;2273.17;1996.0;;Nerenovuotas;;30.0;0.0;0.0;32A
1705;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);2351.74;1567.13;2004.0;;Nerenovuotas;;23.0;1.0;0.0;32C
1706;S.Konarskiog.;Gyvenamoji (trys ir daugiau butų);1043.98;848.46;1940.0;;Nerenovuotas;;15.0;1.0;0.0;7
1707;S.Moniuškosg.;Gyvenamoji (trys ir daugiau butų);359.08;335.82;1930.0;;Nerenovuotas;;4.0;0.0;0.0;50
1708;S.Moniuškosg.;Gyvenamoji (trys ir daugiau butų);310.61;307.93;1940.0;;Nerenovuotas;;4.0;0.0;0.0;9
1709;SalomėjosNėriesg.;Gyvenamoji (trys ir daugiau butų);7535.92;3925.76;1994.0;;Nerenovuotas;;84.0;1.0;0.0;15
