id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
4118;Paupiog.;Gyvenamoji (trys ir daugiau butų);131.28;131.28;1940.0;;Nerenovuotas;;3.0;0.0;0.0;17
4119;Paupiog.;Gyvenamoji (trys ir daugiau butų);380.74;380.74;1940.0;;Nerenovuotas;;9.0;0.0;0.0;18
4120;Paupiog.;Gyvenamoji (trys ir daugiau butų);499.21;316.94;1940.0;;Nerenovuotas;;5.0;2.0;0.0;18
4121;Paupiog.;Gyvenamoji (trys ir daugiau butų);411.16;404.07;1940.0;;Nerenovuotas;;5.0;0.0;0.08;19
4122;Paupiog.;Gyvenamoji (trys ir daugiau butų);608.96;538.73;1940.0;;Nerenovuotas;;13.0;0.0;0.0;21
4123;Paupiog.;Gyvenamoji (trys ir daugiau butų);603.88;543.52;1940.0;;Nerenovuotas;;9.0;0.0;0.0;29
4124;Paupiog.;Gyvenamoji (trys ir daugiau butų);1777.01;1250.4;1940.0;;Nerenovuotas;;41.0;2.0;0.0;29A
4125;Paupiog.;Gyvenamoji (trys ir daugiau butų);573.76;327.44;1940.0;;Nerenovuotas;;5.0;1.0;0.0;3
4126;Paupiog.;Gyvenamoji (trys ir daugiau butų);904.4;504.89;1940.0;;Nerenovuotas;;8.0;7.0;0.07;33
4127;Paupiog.;Gyvenamoji (trys ir daugiau butų);1351.67;1170.71;1940.0;;Nerenovuotas;;26.0;1.0;0.0;33A
4128;Paupiog.;Gyvenamoji (trys ir daugiau butų);275.56;157.54;1940.0;;Nerenovuotas;;8.0;1.0;0.0;33B
4129;Paupiog.;Gyvenamoji (trys ir daugiau butų);736.07;487.08;1940.0;;Nerenovuotas;;8.0;1.0;0.0;35
4130;Paupiog.;Gyvenamoji (trys ir daugiau butų);621.13;502.31;1940.0;;Nerenovuotas;;5.0;0.0;0.0;3A
4131;Paupiog.;Gyvenamoji (trys ir daugiau butų);422.24;337.39;1940.0;;Nerenovuotas;;7.0;1.0;0.0;4
4132;Paupiog.;Gyvenamoji (trys ir daugiau butų);246.35;246.35;1940.0;;Nerenovuotas;;5.0;0.0;0.0;5A
4133;Paupiog.;Gyvenamoji (trys ir daugiau butų);781.03;629.57;1940.0;;Nerenovuotas;;12.0;2.0;0.0;7
4134;Paupiog.;Gyvenamoji (trys ir daugiau butų);510.75;322.11;1940.0;;Nerenovuotas;;8.0;1.0;0.08;7
4135;Paupiog.;Gyvenamoji (trys ir daugiau butų);789.71;663.89;1940.0;;Nerenovuotas;;11.0;0.0;0.0;8
4136;Paupiog.;Gyvenamoji (trys ir daugiau butų);385.85;347.74;1940.0;;Nerenovuotas;;6.0;0.0;0.0;9
4137;Piliesg.;Gyvenamoji (trys ir daugiau butų);500.23;428.98;1940.0;;Nerenovuotas;;6.0;0.0;0.0;12
4138;Piliesg.;Gyvenamoji (trys ir daugiau butų);919.04;692.86;1940.0;;Nerenovuotas;;10.0;2.0;0.0;12
4139;Piliesg.;Gyvenamoji (trys ir daugiau butų);131.73;131.73;1940.0;;Nerenovuotas;;3.0;0.0;0.0;14
4140;Piliesg.;Gyvenamoji (trys ir daugiau butų);132.49;122.11;1940.0;;Nerenovuotas;;3.0;1.0;0.0;14
4141;Piliesg.;Gyvenamoji (trys ir daugiau butų);2901.97;740.59;1940.0;;Nerenovuotas;;7.0;14.0;0.17;16
4142;Piliesg.;Gyvenamoji (trys ir daugiau butų);823.02;590.22;1940.0;;Nerenovuotas;;7.0;3.0;0.0;18
4143;Piliesg.;Gyvenamoji (trys ir daugiau butų);772.99;495.89;1940.0;;Nerenovuotas;;6.0;2.0;0.0;20
4144;Piliesg.;Gyvenamoji (trys ir daugiau butų);3640.46;1142.06;1940.0;;Nerenovuotas;;11.0;18.0;0.0;22
4145;Piliesg.;Gyvenamoji (trys ir daugiau butų);536.39;368.98;1940.0;;Nerenovuotas;;6.0;1.0;0.11;23A
4146;Piliesg.;Gyvenamoji (trys ir daugiau butų);392.06;168.11;1940.0;;Nerenovuotas;;3.0;2.0;0.0;28
4147;Piliesg.;Gyvenamoji (trys ir daugiau butų);1075.93;216.06;1940.0;;Nerenovuotas;;3.0;10.0;0.0;32
4148;Piliesg.;Gyvenamoji (trys ir daugiau butų);488.48;414.05;1940.0;;Nerenovuotas;;6.0;1.0;0.0;36
4149;Piliesg.;Gyvenamoji (trys ir daugiau butų);921.26;723.9;1940.0;;Nerenovuotas;;16.0;0.0;0.0;36
4150;Piliesg.;Gyvenamoji (trys ir daugiau butų);576.24;325.72;1940.0;;Nerenovuotas;;7.0;1.0;0.0;36
4151;Piliesg.;Gyvenamoji (trys ir daugiau butų);647.36;454.04;1940.0;;Nerenovuotas;;7.0;2.0;0.0;36
4152;Piliesg.;Gyvenamoji (trys ir daugiau butų);631.77;528.03;1940.0;;Nerenovuotas;;7.0;2.0;0.0;38
4153;Piliesg.;Gyvenamoji (trys ir daugiau butų);1018.8;340.07;1940.0;;Nerenovuotas;;8.0;9.0;0.0;38
4154;Piliesg.;Gyvenamoji (trys ir daugiau butų);471.3;366.31;1940.0;;Nerenovuotas;;6.0;3.0;0.0;4
4155;Piliesg.;Gyvenamoji (trys ir daugiau butų);832.5;279.04;1940.0;;Nerenovuotas;;2.0;36.0;0.0;4
4156;Piliesg.;Gyvenamoji (trys ir daugiau butų);228.12;228.12;1940.0;;Nerenovuotas;;4.0;0.0;0.0;42
4157;Piliesg.;Gyvenamoji (trys ir daugiau butų);1457.12;1205.7;1940.0;;Nerenovuotas;;12.0;2.0;0.0;42
4158;Piliesg.;Gyvenamoji (trys ir daugiau butų);1115.47;685.54;1940.0;;Nerenovuotas;;8.0;9.0;0.0;6
4159;Piliesg.;Gyvenamoji (trys ir daugiau butų);1675.84;732.5;1940.0;;Nerenovuotas;;15.0;5.0;0.0;7
4160;Piliesg.;Gyvenamoji (trys ir daugiau butų);888.8;599.68;1940.0;;Nerenovuotas;;4.0;4.0;0.0;9
4161;Pylimog.;Gyvenamoji (trys ir daugiau butų);1723.09;941.98;1940.0;;Nerenovuotas;;16.0;6.0;0.0;11
4162;Pylimog.;Gyvenamoji (trys ir daugiau butų);3002.02;1265.55;1940.0;;Nerenovuotas;;17.0;9.0;0.0;21
4163;Pylimog.;Gyvenamoji (trys ir daugiau butų);751.68;624.91;1940.0;;Nerenovuotas;;15.0;1.0;0.0;22
4164;Pylimog.;Gyvenamoji (trys ir daugiau butų);458.67;111.96;1940.0;;Nerenovuotas;;3.0;2.0;0.0;23
4165;Pylimog.;Gyvenamoji (trys ir daugiau butų);383.32;173.81;1940.0;;Nerenovuotas;;5.0;2.0;0.0;23
4166;Pylimog.;Gyvenamoji (trys ir daugiau butų);1958.99;1001.22;1940.0;;Nerenovuotas;;14.0;3.0;0.0;27
4167;Pylimog.;Gyvenamoji (trys ir daugiau butų);946.44;509.71;1940.0;;Nerenovuotas;;11.0;4.0;0.0;27A
