year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2018;Nuolatinių gyventojų skaičius metų pradžioje;33707.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;30.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.6;Vidutinis būsto dydis;m²;76.3;Neto migracija;asmenys;-326.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Plungės r. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;10681.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;18.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.5;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-44.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;10588.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;18.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.3;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-67.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;10453.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;17.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.4;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-93.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;10323.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;17.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.0;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-134.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;10151.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;17.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.7;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-195.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;9854.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;16.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.0;Vidutinis būsto dydis;m²;69.0;Neto migracija;asmenys;-127.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;9660.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;16.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.7;Vidutinis būsto dydis;m²;69.2;Neto migracija;asmenys;-176.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;9437.0;Medianinis gyventojų amžius metų pradžioje;41.0;34.0;Gyventojų tankis metų pradžioje;viename km²;16.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;69.5;Neto migracija;asmenys;-198.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;9205.0;Medianinis gyventojų amžius metų pradžioje;41.0;34.0;Gyventojų tankis metų pradžioje;viename km²;15.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;76.3;Neto migracija;asmenys;-175.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Telšių apskritis;Rietavo sav.
