year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2004;Nuolatinių gyventojų skaičius metų pradžioje;26221.0;Medianinis gyventojų amžius metų pradžioje;44.0;37.0;Gyventojų tankis metų pradžioje;viename km²;20.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.6;Vidutinis būsto dydis;m²;68.7;Neto migracija;asmenys;-282.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;25694.0;Medianinis gyventojų amžius metų pradžioje;44.0;37.0;Gyventojų tankis metų pradžioje;viename km²;19.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.4;Vidutinis būsto dydis;m²;68.7;Neto migracija;asmenys;-452.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;24977.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;19.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.4;Vidutinis būsto dydis;m²;69.4;Neto migracija;asmenys;-244.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;24430.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;18.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.4;Vidutinis būsto dydis;m²;70.2;Neto migracija;asmenys;-265.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;23902.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;18.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.7;Vidutinis būsto dydis;m²;70.2;Neto migracija;asmenys;-162.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;23507.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;18.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.4;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-181.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;23078.0;Medianinis gyventojų amžius metų pradžioje;46.0;40.0;Gyventojų tankis metų pradžioje;viename km²;17.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;33.2;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-314.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;18.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;22509.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;17.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;34.3;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-215.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;22064.0;Medianinis gyventojų amžius metų pradžioje;48.0;42.0;Gyventojų tankis metų pradžioje;viename km²;16.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;35.0;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-160.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;21639.0;Medianinis gyventojų amžius metų pradžioje;48.0;42.0;Gyventojų tankis metų pradžioje;viename km²;16.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;35.7;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-188.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;21254.0;Medianinis gyventojų amžius metų pradžioje;49.0;42.0;Gyventojų tankis metų pradžioje;viename km²;16.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.4;Vidutinis būsto dydis;m²;73.5;Neto migracija;asmenys;-179.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;16.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;20813.0;Medianinis gyventojų amžius metų pradžioje;49.0;43.0;Gyventojų tankis metų pradžioje;viename km²;15.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.2;Vidutinis būsto dydis;m²;73.5;Neto migracija;asmenys;-174.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;15.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;20438.0;Medianinis gyventojų amžius metų pradžioje;50.0;43.0;Gyventojų tankis metų pradžioje;viename km²;15.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;39.5;Vidutinis būsto dydis;m²;73.6;Neto migracija;asmenys;-351.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;15.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;19821.0;Medianinis gyventojų amžius metų pradžioje;50.0;44.0;Gyventojų tankis metų pradžioje;viename km²;15.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;41.3;Vidutinis būsto dydis;m²;73.8;Neto migracija;asmenys;-438.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;19115.0;Medianinis gyventojų amžius metų pradžioje;51.0;45.0;Gyventojų tankis metų pradžioje;viename km²;14.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;42.2;Vidutinis būsto dydis;m²;73.8;Neto migracija;asmenys;-167.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Lazdijų r. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;31204.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;14.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.7;Vidutinis būsto dydis;m²;63.9;Neto migracija;asmenys;-144.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;30873.0;Medianinis gyventojų amžius metų pradžioje;44.0;37.0;Gyventojų tankis metų pradžioje;viename km²;13.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;63.9;Neto migracija;asmenys;-91.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;30556.0;Medianinis gyventojų amžius metų pradžioje;44.0;37.0;Gyventojų tankis metų pradžioje;viename km²;13.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.5;Vidutinis būsto dydis;m²;63.9;Neto migracija;asmenys;-226.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.3;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;30071.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;13.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.1;Vidutinis būsto dydis;m²;63.9;Neto migracija;asmenys;-374.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;29427.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;13.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.0;Vidutinis būsto dydis;m²;63.9;Neto migracija;asmenys;-376.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;28742.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;13.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.2;Vidutinis būsto dydis;m²;64.2;Neto migracija;asmenys;-309.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;28099.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;12.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.7;Vidutinis būsto dydis;m²;64.3;Neto migracija;asmenys;-227.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;27531.0;Medianinis gyventojų amžius metų pradžioje;47.0;40.0;Gyventojų tankis metų pradžioje;viename km²;12.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.1;Vidutinis būsto dydis;m²;64.4;Neto migracija;asmenys;-286.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;26931.0;Medianinis gyventojų amžius metų pradžioje;47.0;40.0;Gyventojų tankis metų pradžioje;viename km²;12.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;33.7;Vidutinis būsto dydis;m²;66.8;Neto migracija;asmenys;-243.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;26417.0;Medianinis gyventojų amžius metų pradžioje;48.0;40.0;Gyventojų tankis metų pradžioje;viename km²;11.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;35.0;Vidutinis būsto dydis;m²;66.7;Neto migracija;asmenys;-584.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;17.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;25506.0;Medianinis gyventojų amžius metų pradžioje;49.0;42.0;Gyventojų tankis metų pradžioje;viename km²;11.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;36.1;Vidutinis būsto dydis;m²;66.8;Neto migracija;asmenys;-307.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;24946.0;Medianinis gyventojų amžius metų pradžioje;49.0;42.0;Gyventojų tankis metų pradžioje;viename km²;11.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.0;Vidutinis būsto dydis;m²;66.8;Neto migracija;asmenys;-340.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;24380.0;Medianinis gyventojų amžius metų pradžioje;50.0;43.0;Gyventojų tankis metų pradžioje;viename km²;11.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.7;Vidutinis būsto dydis;m²;66.8;Neto migracija;asmenys;-175.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;23950.0;Medianinis gyventojų amžius metų pradžioje;51.0;43.0;Gyventojų tankis metų pradžioje;viename km²;10.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;39.3;Vidutinis būsto dydis;m²;67.3;Neto migracija;asmenys;-139.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;23528.0;Medianinis gyventojų amžius metų pradžioje;51.0;43.0;Gyventojų tankis metų pradžioje;viename km²;10.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;40.3;Vidutinis būsto dydis;m²;67.4;Neto migracija;asmenys;-273.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;23009.0;Medianinis gyventojų amžius metų pradžioje;51.0;44.0;Gyventojų tankis metų pradžioje;viename km²;10.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;41.7;Vidutinis būsto dydis;m²;67.6;Neto migracija;asmenys;-346.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;22399.0;Medianinis gyventojų amžius metų pradžioje;52.0;44.0;Gyventojų tankis metų pradžioje;viename km²;10.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;43.2;Vidutinis būsto dydis;m²;67.7;Neto migracija;asmenys;-364.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;21764.0;Medianinis gyventojų amžius metų pradžioje;53.0;45.0;Gyventojų tankis metų pradžioje;viename km²;9.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;44.3;Vidutinis būsto dydis;m²;67.8;Neto migracija;asmenys;-248.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Alytaus apskritis;Varėnos r. sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;5458.0;Medianinis gyventojų amžius metų pradžioje;41.0;36.0;Gyventojų tankis metų pradžioje;viename km²;44.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.4;Vidutinis būsto dydis;m²;69.3;Neto migracija;asmenys;-60.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;5362.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;43.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.7;Vidutinis būsto dydis;m²;69.3;Neto migracija;asmenys;-28.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;5296.0;Medianinis gyventojų amžius metų pradžioje;42.0;37.0;Gyventojų tankis metų pradžioje;viename km²;42.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.1;Vidutinis būsto dydis;m²;69.3;Neto migracija;asmenys;-27.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;5240.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;42.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.9;Vidutinis būsto dydis;m²;69.3;Neto migracija;asmenys;-84.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;5120.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;41.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.9;Vidutinis būsto dydis;m²;69.5;Neto migracija;asmenys;-103.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;4971.0;Medianinis gyventojų amžius metų pradžioje;45.0;38.0;Gyventojų tankis metų pradžioje;viename km²;40.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.4;Vidutinis būsto dydis;m²;69.6;Neto migracija;asmenys;-26.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;4901.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;39.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.7;Vidutinis būsto dydis;m²;69.6;Neto migracija;asmenys;26.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.9;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;4861.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;39.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.8;Vidutinis būsto dydis;m²;71.2;Neto migracija;asmenys;-60.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;3.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;4771.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;38.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;36.3;Vidutinis būsto dydis;m²;72.3;Neto migracija;asmenys;-83.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;4679.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;37.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;37.0;Vidutinis būsto dydis;m²;72.3;Neto migracija;asmenys;-60.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2011;Nuolatinių gyventojų skaičius metų pradžioje;4593.0;Medianinis gyventojų amžius metų pradžioje;48.0;41.0;Gyventojų tankis metų pradžioje;viename km²;37.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.1;Vidutinis būsto dydis;m²;72.4;Neto migracija;asmenys;-23.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;4532.0;Medianinis gyventojų amžius metų pradžioje;49.0;41.0;Gyventojų tankis metų pradžioje;viename km²;36.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;38.8;Vidutinis būsto dydis;m²;72.3;Neto migracija;asmenys;-49.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;4460.0;Medianinis gyventojų amžius metų pradžioje;50.0;42.0;Gyventojų tankis metų pradžioje;viename km²;36.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;39.6;Vidutinis būsto dydis;m²;72.4;Neto migracija;asmenys;-44.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.2;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;4369.0;Medianinis gyventojų amžius metų pradžioje;50.0;42.0;Gyventojų tankis metų pradžioje;viename km²;35.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;40.1;Vidutinis būsto dydis;m²;72.2;Neto migracija;asmenys;20.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;4371.0;Medianinis gyventojų amžius metų pradžioje;51.0;43.0;Gyventojų tankis metų pradžioje;viename km²;35.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;40.8;Vidutinis būsto dydis;m²;72.5;Neto migracija;asmenys;-9.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;4330.0;Medianinis gyventojų amžius metų pradžioje;51.0;44.0;Gyventojų tankis metų pradžioje;viename km²;35.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;41.8;Vidutinis būsto dydis;m²;72.7;Neto migracija;asmenys;-69.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;4254.0;Medianinis gyventojų amžius metų pradžioje;52.0;44.0;Gyventojų tankis metų pradžioje;viename km²;34.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;42.9;Vidutinis būsto dydis;m²;72.9;Neto migracija;asmenys;-47.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.6;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;4168.0;Medianinis gyventojų amžius metų pradžioje;53.0;45.0;Gyventojų tankis metų pradžioje;viename km²;34.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;43.6;Vidutinis būsto dydis;m²;73.0;Neto migracija;asmenys;-8.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.0;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Birštono sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;52258.0;Medianinis gyventojų amžius metų pradžioje;37.0;31.0;Gyventojų tankis metų pradžioje;viename km²;55.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.4;Vidutinis būsto dydis;m²;56.9;Neto migracija;asmenys;-225.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;14.8;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Jonavos r. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;52031.0;Medianinis gyventojų amžius metų pradžioje;37.0;32.0;Gyventojų tankis metų pradžioje;viename km²;55.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.5;Vidutinis būsto dydis;m²;56.9;Neto migracija;asmenys;-198.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.5;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Jonavos r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;51734.0;Medianinis gyventojų amžius metų pradžioje;38.0;32.0;Gyventojų tankis metų pradžioje;viename km²;54.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;21.7;Vidutinis būsto dydis;m²;56.9;Neto migracija;asmenys;-95.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;11.7;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Jonavos r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;51510.0;Medianinis gyventojų amžius metų pradžioje;38.0;32.0;Gyventojų tankis metų pradžioje;viename km²;54.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.0;Vidutinis būsto dydis;m²;56.9;Neto migracija;asmenys;-190.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.4;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Jonavos r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;51218.0;Medianinis gyventojų amžius metų pradžioje;39.0;33.0;Gyventojų tankis metų pradžioje;viename km²;54.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.3;Vidutinis būsto dydis;m²;57.0;Neto migracija;asmenys;-776.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;8.1;Lietuvos Respublika;Vidurio ir vakarų Lietuvos regionas;Kauno apskritis;Jonavos r. sav.
